N	2gram	Medvedev_U	SlovoVZh
1	не может	7	16
2	может быть	6	14
3	и в	14	12
4	таким образом	2	12
5	и не	8	10
6	если бы	2	9
7	прежде всего	8	8
8	художественного произведения	2	7
9	в том	2	6
10	только в	2	6
11	что мы	2	5
12	но в	3	5
13	том что	2	5
14	то же	5	5
15	как и	3	5
16	художественной формы	2	5
17	должна быть	2	5
18	хотя бы	5	5
19	а не	10	5
20	то что	7	5
21	в самом	2	4
22	в этом	7	4
23	не только	10	4
24	и является	2	4
25	материала и	2	4
26	не в	2	4
27	ни было	3	4
28	с другой	4	4
29	все же	3	4
30	литературы и	2	4
31	по себе	2	3
32	и для	2	3
33	бы то	3	3
34	то ни	3	3
35	в своей	3	3
36	мы не	2	3
37	конечно не	4	3
38	в себе	2	3
39	художественное произведение	5	3
40	все это	5	3
41	теоретической поэтики	2	3
42	в некоторых	2	3
43	между тем	2	3
44	и с	2	3
45	сих пор	2	3
46	до сих	2	3
47	формы и	2	3
48	в художественном	5	3
49	самом деле	2	3
50	художественном произведении	2	3
51	художественного творчества	5	3
52	но и	4	3
53	для него	3	3
54	и то	3	2
55	в его	2	2
56	не есть	2	2
57	ничего не	2	2
58	с его	2	2
59	но конечно	2	2
60	что и	2	2
61	это не	3	2
62	истории литературы	3	2
63	все они	2	2
64	в то	3	2
65	перестает быть	5	2
66	форму и	2	2
67	но это	2	2
68	но не	2	2
69	могут быть	2	2
70	же самое	2	2
71	другой стороны	3	2
