N	2gram	Tiupa_Hudo	Literetu
1	уединенного сознания	5	70
2	а не	23	50
3	и не	15	47
4	не только	22	46
5	и в	34	44
6	может быть	12	43
7	при этом	21	41
8	но и	13	41
9	тогда как	10	40
10	в том	24	39
11	в этом	22	38
12	своего рода	19	37
13	том что	31	32
14	в частности	10	30
15	такого рода	4	30
16	то что	13	29
17	в мире	10	28
18	в качестве	13	27
19	состоит в	8	26
20	то же	14	26
21	как и	16	23
22	в то	12	23
23	не в	16	22
24	так и	19	22
25	того что	5	22
26	себя в	11	22
27	не может	10	22
28	я и	7	21
29	же время	11	21
30	в себе	19	20
31	и т.п	2	20
32	прежде всего	12	19
33	я в	2	19
34	как бы	11	18
35	точки зрения	7	17
36	в его	17	17
37	с другой	4	17
38	сознания в	2	16
39	в этой	11	16
40	в жизни	9	16
41	тем самым	2	15
42	со стороны	6	15
43	не менее	9	15
44	в целом	2	15
45	я не	8	15
46	в русской	4	15
47	только в	8	15
48	по отношению	15	14
49	что он	14	14
50	однако в	4	14
51	в рамках	2	14
52	и даже	4	14
53	в своем	9	13
54	как это	8	13
55	в тексте	8	13
56	с одной	4	13
57	но не	7	13
58	уже не	12	13
59	и его	8	13
60	всего лишь	7	12
61	к себе	8	12
62	художественного мышления	8	12
63	в данном	3	12
64	в своей	15	12
65	а также	4	12
66	художественного письма	2	12
67	еще не	10	12
68	отношению к	15	12
69	в е	2	12
70	о том	21	12
71	одной стороны	4	12
72	никогда не	8	11
73	данном случае	3	11
74	это не	12	11
75	в другом	3	11
76	еще в	4	11
77	с его	9	11
78	и сам	3	11
79	не столько	4	11
80	как в	11	11
81	а в	11	11
82	или иначе	3	11
83	в конечном	5	11
84	столь же	6	11
85	в основе	3	11
86	вместе с	2	11
87	даже в	4	10
88	этом отношении	4	10
89	для себя	9	10
90	что в	8	10
91	так или	3	10
92	отнюдь не	4	10
93	в ее	16	10
94	конечном счете	4	10
95	жизни в	12	10
96	из них	5	10
97	и на	6	10
98	потому что	7	10
99	не случайно	14	10
100	жизни и	10	10
101	в противовес	2	10
102	одно из	4	9
103	к тому	11	9
104	один из	6	9
105	же в	3	9
106	связи с	4	9
107	в начале	3	9
108	наш взгляд	6	9
109	лишь в	5	9
110	с этой	3	9
111	на смену	2	9
112	отказ от	2	9
113	что я	4	9
114	и т.д	3	9
115	на наш	6	9
116	одна из	4	8
117	в конце	5	8
118	едва ли	6	8
119	быть может	7	8
120	все же	5	8
121	но в	6	8
122	уже в	2	8
123	на себя	3	8
124	что не	4	8
125	собственного я	2	8
126	в глазах	11	8
127	для него	15	8
128	тем что	6	8
129	в своих	4	8
130	соответствии с	2	8
131	той же	3	8
132	и ты	2	8
133	с точки	5	8
134	о себе	3	8
135	как раз	7	8
136	до конца	3	7
137	в их	2	7
138	не как	3	7
139	по своей	5	7
140	наконец в	2	7
141	друг друга	5	7
142	и тем	2	7
143	между я	2	7
144	так в	2	7
145	в художественном	6	7
146	русской литературе	3	7
147	и для	5	7
148	по преимуществу	6	7
149	как правило	6	7
150	человека в	10	7
151	именно в	9	7
152	в самом	7	7
153	и с	10	7
154	в одном	3	7
155	он и	2	7
156	личности в	9	7
157	тому как	4	7
158	в нем	5	7
159	он не	8	7
160	на фоне	5	7
161	в сфере	2	7
162	еще и	2	6
163	его в	5	6
164	при всей	3	6
165	казалось бы	12	6
166	самом деле	6	6
167	но одновременно	3	6
168	и он	6	6
169	было бы	8	6
170	не было	8	6
171	например в	3	6
172	и то	2	6
173	то в	6	6
174	то и	5	6
175	во всех	2	6
176	с ее	7	6
177	как о	3	6
178	разумеется не	2	6
179	подобно тому	4	6
180	в ней	6	6
181	и только	2	6
182	у него	13	6
183	как на	2	6
184	как будто	7	6
185	или иной	2	5
186	идет о	3	5
187	с собой	2	5
188	вслед за	3	5
189	в литературе	3	5
190	так как	2	5
191	от себя	3	5
192	как он	4	5
193	так что	3	5
194	он сам	3	5
195	не знает	2	5
196	к этой	4	5
197	без другого	2	5
198	во втором	2	5
199	между тем	14	5
200	несмотря на	7	5
201	что и	3	5
202	тех кто	2	5
203	себя и	4	5
204	в сущности	2	5
205	в связи	3	5
206	эти слова	3	5
207	все еще	3	5
208	мы с	3	5
209	место в	3	5
210	хотя бы	2	5
211	читателя в	6	5
212	по выражению	3	5
213	в равной	3	5
214	должно быть	2	5
215	мы не	2	5
216	на свете	2	5
217	тем не	7	5
218	я это	2	5
219	в силу	2	5
220	как у	2	5
221	не с	2	5
222	том чтобы	2	5
223	автора и	4	5
224	в себя	3	5
225	в нашем	2	5
226	и к	6	5
227	жизни как	7	5
228	личности с	3	5
229	к жизни	6	5
230	но с	3	5
231	я с	2	4
232	себе и	3	4
233	в каждой	2	4
234	для нас	4	4
235	нуждается в	2	4
236	только для	4	4
237	как к	4	4
238	по сути	2	4
239	все время	2	4
240	от своего	2	4
241	к своему	2	4
242	только на	6	4
243	в г	3	4
244	художественности как	2	4
245	для своего	2	4
246	со всей	2	4
247	и все	10	4
248	на том	3	4
249	на его	2	4
250	в творческом	3	4
251	духовной жизни	2	4
252	в них	3	4
253	не бывает	3	4
254	с позиции	3	4
255	хотя и	3	4
256	как мы	5	4
257	себе самому	4	4
258	самим собою	2	4
259	мышления и	3	4
260	одной из	5	4
261	и читателя	5	4
262	тех же	2	4
263	но при	3	4
264	нет ничего	4	4
265	жизни на	4	4
266	но это	2	4
267	сводится к	7	4
268	во второй	7	4
269	художественного целого	8	4
270	бы не	3	4
271	художественного мира	3	4
272	для того	3	4
273	такой же	3	4
274	ни к	2	4
275	в пределах	4	4
276	но тем	2	4
277	все они	2	4
278	можно сказать	9	4
279	на то	4	4
280	века в	2	4
281	жизни не	2	4
282	а по	2	4
283	приводит к	5	4
284	на этом	5	4
285	не могу	3	4
286	в сторону	2	4
287	перед ним	2	4
288	более чем	2	4
289	вовсе не	2	4
290	и что	3	4
291	то ни	2	4
292	что было	3	4
293	о которой	3	4
294	при котором	2	4
295	героя как	2	4
296	на самом	2	3
297	вопрос о	2	3
298	ничего не	11	3
299	автора героя	2	3
300	в действительности	5	3
301	и потому	3	3
302	в москве	2	3
303	так же	3	3
304	но как	3	3
305	о чем	9	3
306	по себе	3	3
307	в полном	2	3
308	именно так	2	3
309	не раз	2	3
310	ответственности перед	2	3
311	отношение к	3	3
312	и а	7	3
313	никого не	3	3
314	в первом	2	3
315	нам представляется	3	3
316	в ходе	4	3
317	литературе в	2	3
318	т п	10	3
319	своей жизни	6	3
320	личность не	2	3
321	а с	5	3
322	себе в	2	3
323	о нем	4	3
324	и о	8	3
325	в душе	6	3
326	как уже	3	3
327	следующим образом	3	3
328	это уже	2	3
329	они не	2	3
330	являет собой	2	3
331	однако если	2	3
332	говорится в	2	3
333	что же	4	3
334	речь идет	3	3
335	там где	2	3
336	же как	4	3
337	того чтобы	6	3
338	все эти	4	3
339	всю ночь	3	3
340	и тогда	2	3
341	и т	15	3
342	как от	2	3
343	который в	2	3
344	xix столетия	2	3
345	человеческого я	7	3
346	да и	5	3
347	если в	4	3
348	и от	6	3
349	как например	2	3
350	его личности	3	3
351	же это	2	3
352	в эстетической	2	3
353	ту или	2	3
354	можно было	6	3
355	эстетическая доминанта	3	3
356	в первой	6	3
357	бы и	2	3
358	дело в	2	3
359	о своем	2	3
360	мысли и	2	3
361	которая не	3	3
362	мысль о	2	3
363	если бы	7	3
364	художественном мире	2	3
365	концепция личности	2	3
366	превращается в	6	3
367	из ключевых	2	3
