N	2gram	Losev_Dial	SlovoVZh
1	не может	29	16
2	точки зрения	43	14
3	может быть	30	14
4	и его	8	13
5	как бы	19	13
6	и в	34	12
7	таким образом	14	12
8	и не	50	10
9	так как	12	9
10	если бы	10	9
11	прежде всего	20	8
12	для нас	2	7
13	сказать что	7	7
14	все время	4	6
15	при этом	7	6
16	в том	17	6
17	в нем	7	6
18	только в	10	6
19	в процессе	2	6
20	в ней	4	6
21	никогда не	9	5
22	как в	2	5
23	что мы	10	5
24	в жизни	4	5
25	в виду	12	5
26	можно сказать	5	5
27	но в	3	5
28	том что	18	5
29	то же	9	5
30	как и	14	5
31	и следовательно	2	5
32	должна быть	11	5
33	хотя бы	9	5
34	а не	39	5
35	то что	25	5
36	отнюдь не	16	5
37	в самом	9	4
38	в этом	14	4
39	не только	35	4
40	на самом	2	4
41	что не	8	4
42	его в	2	4
43	и является	2	4
44	зависимости от	4	4
45	жизни и	8	4
46	не в	11	4
47	с другой	5	4
48	все же	4	4
49	к нему	4	4
50	за пределы	3	4
51	и к	5	4
52	так и	11	4
53	и на	6	4
54	уже не	9	4
55	от того	9	4
56	как к	2	3
57	в них	6	3
58	по себе	31	3
59	в каком	9	3
60	и вообще	7	3
61	о том	11	3
62	и для	5	3
63	слово в	2	3
64	или не	10	3
65	ее и	2	3
66	да и	4	3
67	он должен	3	3
68	из этого	3	3
69	и уже	5	3
70	ни в	20	3
71	все эти	4	3
72	в котором	2	3
73	бы то	3	3
74	и наконец	2	3
75	то ни	4	3
76	так же	7	3
77	в своей	4	3
78	мы не	11	3
79	конечно не	6	3
80	точка зрения	5	3
81	в себе	8	3
82	еще не	7	3
83	здесь не	2	3
84	это как	3	3
85	все это	13	3
86	только на	8	3
87	когда он	3	3
88	и ее	8	3
89	в некоторых	3	3
90	и с	10	3
91	этой точки	4	3
92	но для	3	3
93	не менее	11	3
94	с ним	3	3
95	быть и	7	3
96	и по	2	3
97	самом деле	7	3
98	и пр	16	3
99	того что	22	3
100	тем не	10	3
101	ведь и	3	3
102	но и	14	3
103	для него	4	3
104	ясно что	16	3
105	едва ли	2	2
106	в особенности	9	2
107	вещи и	3	2
108	одно и	6	2
109	и то	7	2
110	в его	6	2
111	допустим что	16	2
112	данном случае	3	2
113	и здесь	3	2
114	что в	12	2
115	не есть	95	2
116	и притом	10	2
117	место в	2	2
118	ничего не	29	2
119	с его	7	2
120	как не	4	2
121	что и	8	2
122	это не	13	2
123	и все	17	2
124	кроме того	8	2
125	с точки	25	2
126	она не	10	2
127	тому же	2	2
128	в своем	7	2
129	в зависимости	3	2
130	в данном	6	2
131	независимо от	3	2
132	зависит от	4	2
133	мы имеем	3	2
134	и что	21	2
135	в то	9	2
136	себя и	3	2
137	перестает быть	2	2
138	смысл и	2	2
139	с этой	7	2
140	в этих	3	2
141	одной стороны	3	2
142	но это	10	2
143	в условиях	2	2
144	он не	8	2
145	есть уже	2	2
146	как же	9	2
147	как только	5	2
148	как на	6	2
149	и потому	6	2
150	его как	6	2
151	оно не	7	2
152	но не	3	2
153	как это	8	2
154	возможна только	2	2
155	если же	8	2
156	в себя	4	2
157	мы можем	3	2
158	была бы	5	2
159	ни на	5	2
160	могут быть	5	2
161	совпадает с	2	2
162	в чем	11	2
163	нет ничего	14	2
164	быть только	2	2
165	и так	2	2
166	с одной	4	2
167	к этому	3	2
168	тогда когда	9	2
169	и та	4	2
170	но что	11	2
171	другой стороны	4	2
172	самое слово	2	2
173	вместе с	3	2
174	но зато	2	2
175	и совершенно	2	2
