N	3gram	Potebnia_M	Mirosoze
1	не может быть	11	28
2	в том что	18	9
3	для того чтобы	4	7
4	в нем есть	2	7
5	и в этом	7	6
6	но и в	4	5
7	после того как	3	5
8	до сих пор	5	5
9	не было бы	3	5
10	что и в	4	5
11	мы увидим что	3	5
12	от того что	5	4
13	потому что в	5	4
14	по отношению к	13	4
15	на то что	3	4
16	заключает в себе	6	4
17	не что иное	2	4
18	в то время	3	4
19	что иное как	2	4
20	во всяком случае	7	3
21	с тем что	4	3
22	но это не	2	3
23	одной и той	3	3
24	как и в	3	3
25	и той же	3	3
26	к тому что	2	3
27	в нем самом	6	3
28	все более и	2	2
29	потому что не	5	2
30	смысле этого слова	3	2
31	как и во	3	2
32	подобно тому как	7	2
33	не только в	3	2
34	не могут быть	5	2
35	в том смысле	7	2
36	смысле в каком	5	2
37	в человеке и	2	2
38	более и более	2	2
