N	2gram	Bakhtin_fo	Otkroven
1	у него	8	22
2	человеческой природы	2	20
3	и в	84	19
4	но и	14	13
5	и не	19	13
6	в этом	41	12
7	не только	16	11
8	человека в	22	11
9	не в	10	11
10	а не	7	11
11	может быть	18	11
12	и все	10	10
13	человека и	15	10
14	в нем	28	10
15	вопрос о	2	10
16	никогда не	8	9
17	в самой	3	9
18	потому что	11	9
19	не было	8	9
20	прежде всего	28	9
21	и он	3	8
22	он был	2	8
23	ни с	3	7
24	лишь в	8	7
25	в его	19	7
26	до конца	5	7
27	нет ничего	4	7
28	он не	6	7
29	он всегда	2	7
30	но он	4	7
31	как и	15	6
32	все это	10	6
33	для него	5	5
34	а в	6	5
35	в том	16	5
36	в самом	9	5
37	то что	13	5
38	в этой	3	5
39	отношение к	5	5
40	и его	26	4
41	что в	9	4
42	он сам	2	4
43	в романах	2	4
44	только и	5	4
45	того чтобы	11	4
46	все эти	12	4
47	на земле	2	4
48	человек и	2	4
49	не может	8	4
50	все в	3	4
51	что не	3	4
52	с его	10	4
53	в себе	7	3
54	и от	3	3
55	человек был	4	3
56	о том	4	3
57	это не	8	3
58	не могут	4	3
59	что он	2	3
60	и вот	2	3
61	было бы	2	3
62	для того	12	3
63	еще не	8	3
64	и есть	3	3
65	все что	2	3
66	в этих	6	3
67	и ее	4	3
68	никто не	2	3
69	как бы	11	3
70	хотя бы	2	3
71	нем нет	2	3
72	могут быть	7	3
73	это было	2	3
74	с ним	5	3
75	того что	5	3
76	одно из	3	2
77	и то	5	2
78	сказать что	4	2
79	и на	13	2
80	с тем	5	2
81	уже в	5	2
82	и для	12	2
83	в уста	2	2
84	совсем не	4	2
85	что все	4	2
86	не имеет	5	2
87	не могли	3	2
88	ничего не	9	2
89	в человеческом	2	2
90	он весь	3	2
91	и с	10	2
92	что и	5	2
93	этого мира	5	2
94	ее в	2	2
95	образ человека	7	2
96	и потому	4	2
97	в ее	6	2
98	в других	9	2
99	в своем	8	2
100	и этим	2	2
101	тем что	4	2
102	но в	16	2
103	том что	7	2
104	природы и	2	2
105	все же	12	2
106	жизни в	11	2
107	в своей	2	2
108	ведь это	2	2
109	так как	12	2
110	с чем	2	2
111	по себе	3	2
112	что они	3	2
113	человека о	2	2
114	в истории	6	2
115	так что	4	2
116	своей жизни	6	2
117	должно быть	6	2
118	с которой	2	2
119	и нет	2	2
120	к этому	5	2
121	и к	4	2
122	так и	17	2
123	этом мире	7	2
124	в которой	3	2
125	личности и	2	2
126	к ней	2	2
127	хотя и	5	2
128	момент в	2	2
129	всего в	4	2
130	в другом	2	2
131	в этот	5	2
132	их не	2	2
133	чем в	3	2
134	его в	8	2
