N	3gram	Propp_Isto_1	Problemy
1	с самого начала	2	8
2	по отношению к	3	6
3	но в то	1	4
4	друг с другом	3	4
5	в этом смысле	1	3
6	бы то ни	2	3
7	то ни было	2	3
8	что у меня	1	3
9	с другой стороны	5	3
10	и в нем	1	3
11	не может быть	7	3
12	к тому же	1	3
13	смысле этого слова	1	2
14	сводится к тому	1	2
15	в отличие от	2	2
16	друг на друга	1	2
17	к тому чтобы	1	2
18	можно было бы	3	2
19	того что он	1	2
20	и в этом	1	2
21	подобно тому как	1	2
22	но все же	3	2
23	в большинстве случаев	4	2
24	и что он	1	2
25	в том что	4	2
26	мы увидим что	5	2
27	именно потому что	1	2
28	что он в	1	2
29	если бы он	1	1
30	но кроме того	1	1
31	на этом моменте	1	1
32	на которой он	1	1
33	дело в том	3	1
34	в виде отдельных	1	1
35	даже тон рассказа	1	1
36	не только с	1	1
37	на них мы	1	1
38	и в особенности	1	1
39	но и по	1	1
40	никак не может	1	1
41	и к другим	1	1
42	в этом случае	1	1
43	в нем и	1	1
44	этот вопрос всегда	1	1
45	и то в	1	1
46	до сих пор	5	1
47	вместе с тем	2	1
48	мы могли бы	1	1
49	а так как	1	1
50	то что в	2	1
51	почвой на которой	1	1
52	о нем но	1	1
53	за то что	1	1
54	в нем он	1	1
55	выдает себя за	1	1
56	настолько тесно что	1	1
57	к тому что	1	1
58	о том как	1	1
59	в значительной степени	1	1
60	то время как	3	1
61	той почвой на	1	1
62	с другом что	1	1
63	то что уже	1	1
64	не найдем ни	1	1
65	в себе как	1	1
66	как будто бы	2	1
67	не только для	1	1
68	в большей или	1	1
69	в этом направлении	1	1
70	это конечно не	2	1
71	прежде всего в	1	1
72	но и с	1	1
73	мы сейчас увидим	1	1
74	нас прежде всего	1	1
75	его отношения к	1	1
76	мы видели что	2	1
77	мы говорили что	1	1
78	это потому что	1	1
79	в то время	3	1
80	в эту сторону	1	1
81	чем иным как	1	1
82	но тем не	1	1
83	большей или меньшей	2	1
84	в такой форме	1	1
85	о том что	3	1
86	но и для	1	1
87	не чем иным	1	1
88	мы не найдем	1	1
89	приведем еще один	1	1
90	в реальной действительности	1	1
91	но так же	1	1
92	без другого и	1	1
93	по его мнению	1	1
94	он как бы	1	1
95	а что он	1	1
96	но здесь он	1	1
97	вопрос о том	2	1
98	тем не менее	6	1
99	на другом материале	1	1
100	по себе но	1	1
101	для него как	1	1
102	по сравнению со	1	1
103	для того чтобы	1	1
104	в который попадает	1	1
105	что и в	1	1
106	как его понимал	1	1
107	то же самое	3	1
108	в этом отношении	1	1
109	собой и со	1	1
110	мы еще не	1	1
