N	3gram	Ircho_Kome_2	Problema
1	тем не менее	1	18
2	для того чтобы	4	8
3	в этом смысле	2	6
4	о том что	4	5
5	в том что	5	5
6	точно так же	1	4
7	и вовсе не	1	4
8	в связи с	3	4
9	той или иной	1	4
10	в то же	3	4
11	более или менее	1	3
12	с точки зрения	1	3
13	до сих пор	2	3
14	что в нем	1	3
15	то что он	2	3
16	во всяком случае	2	3
17	то что в	1	3
18	с другой стороны	1	3
19	не говоря уже	2	2
20	в самом деле	1	2
21	так или иначе	3	2
22	по своему содержанию	1	2
23	а может быть	1	2
24	но уже в	1	2
25	так как он	1	2
26	в этой области	1	2
27	на этот раз	4	2
28	так и для	1	2
29	не может быть	1	2
30	того или иного	1	2
31	и в самом	1	2
32	можно было бы	2	2
33	только потому что	2	2
34	может быть даже	1	2
35	когда речь заходит	1	1
36	и на этот	2	1
37	сводится к тому	1	1
38	вместе с тем	4	1
39	само собой разумеется	1	1
40	в чем же	1	1
41	и к тому	1	1
42	мы имеем дело	1	1
43	однако едва ли	1	1
44	если не считать	1	1
45	том что ни	1	1
46	в том же	1	1
47	на первый план	1	1
48	мы находим в	1	1
49	и во всех	1	1
50	из них в	1	1
51	говоря уже о	2	1
52	и в то	1	1
53	от греческого слова	1	1
54	внешней и внутренней	1	1
55	для этой цели	1	1
56	в первую очередь	3	1
57	и т п	2	1
58	только тем что	1	1
59	в это время	2	1
60	то время как	2	1
61	в самом начале	2	1
62	не только в	1	1
63	многие из этих	1	1
64	так и в	1	1
65	как будто бы	1	1
66	та или другая	1	1
67	на себя внимание	5	1
68	в любой другой	1	1
69	не хуже чем	1	1
70	так как будто	1	1
71	за последние десятилетия	1	1
72	бы то ни	2	1
73	и в том	1	1
74	связи с этим	1	1
75	не было бы	1	1
76	то на что	1	1
77	в этом же	2	1
78	его от всех	1	1
79	в то время	3	1
80	мы можем сказать	1	1
81	и все прочее	1	1
82	и в литературе	1	1
83	к тому что	2	1
84	во всех случаях	1	1
85	никак не может	1	1
86	признать что в	1	1
87	к тому же	10	1
88	и в помине	1	1
89	как мы видели	1	1
