N	4gram	Losev_Vlad_3	Russkaja
1	в то же время	2	10
2	что бы то ни	2	3
3	в том случае если	2	3
4	во что бы то	2	3
5	бы то ни стало	2	3
6	только в том случае	3	2
7	и вместе с тем	2	2
8	дело в том что	4	1
9	и то и другое	1	1
10	само собой разумеется что	1	1
11	мы уже знаем что	1	1
12	точно так же и	1	1
13	стремления во что бы	1	1
14	сводится к тому что	2	1
15	бы то ни было	1	1
16	том случае когда оно	1	1
17	не подлежит никакому сомнению	1	1
18	только с точки зрения	1	1
19	заключается в том что	1	1
20	также и то что	2	1
21	в том случае когда	1	1
