N	3gram	Voloshinov_2	Literetu
1	в том что	6	11
2	так или иначе	1	8
3	в отличие от	3	5
4	то же время	8	5
5	в то же	8	5
6	не только в	1	4
7	в связи с	7	4
8	в конечном счете	1	4
9	в русской литературе	1	3
10	не сводится к	1	3
11	при этом как	1	3
12	и прежде всего	2	3
13	дело в том	1	2
14	по отношению к	8	2
15	не говоря уже	1	2
16	с точки зрения	13	2
17	в этом отношении	1	2
18	одним из наиболее	1	2
19	с одной стороны	3	2
20	чуть ли не	1	2
21	во всяком случае	2	2
22	о том что	3	2
23	тем не менее	1	2
24	том что не	1	1
25	в другом месте	1	1
26	на том что	1	1
27	в основе всех	1	1
28	в последнее время	1	1
29	мы никогда не	2	1
30	а не в	2	1
31	одним и тем	2	1
32	на самом деле	4	1
33	в этом последнем	2	1
34	на то что	2	1
35	в соответствии с	1	1
36	том что он	2	1
37	в зависимости от	2	1
38	бы то ни	4	1
39	тот или иной	1	1
40	в этом качестве	1	1
41	по крайней мере	2	1
42	жизни и в	1	1
43	в значительной степени	2	1
44	а как бы	1	1
45	и тем же	2	1
46	но в то	5	1
47	в самом деле	5	1
48	лишь в той	1	1
49	в отношении к	4	1
50	говоря уже о	1	1
51	в сущности только	1	1
52	в равной степени	1	1
53	для него в	1	1
54	только при условии	1	1
55	а с другой	1	1
56	какой бы то	2	1
57	все более и	2	1
58	в этом и	1	1
59	с другой стороны	1	1
60	не может быть	10	1
61	того же слова	3	1
62	в свою очередь	5	1
63	и того же	4	1
64	до сих пор	3	1
65	с самого начала	5	1
66	более и более	2	1
67	но все же	1	1
68	то ни было	4	1
69	одного и того	4	1
70	в большинстве случаев	5	1
71	может быть от	1	1
72	как и всякое	1	1
73	в том числе	1	1
74	однако и здесь	1	1
75	быть не может	1	1
76	здесь как и	1	1
77	к тому же	2	1
78	не нуждается в	1	1
79	и тем более	1	1
80	как мы знаем	1	1
81	текста но и	1	1
82	внутреннего и внешнего	1	1
