N	3gram	Tiupa_Teor_1	KulturaY
1	в том что	8	10
2	в русском языке	1	9
3	с точки зрения	3	8
4	для того чтобы	1	8
5	с другой стороны	5	7
6	по крайней мере	1	6
7	в этом смысле	2	5
8	тем не менее	3	5
9	не может быть	4	4
10	в то же	5	3
11	точно так же	1	3
12	в связи с	1	3
13	то же время	5	3
14	точки зрения в	1	3
15	в таких случаях	1	2
16	так же как	1	2
17	так или иначе	4	2
18	дело не в	1	2
19	в том случае	1	2
20	и потому что	1	2
21	можно сказать что	2	2
22	в данном отношении	1	2
23	мы говорим о	1	2
24	том случае если	1	2
25	того или иного	3	2
26	в отличие от	6	2
27	в конечном счете	6	2
28	то или иное	1	2
29	в соответствии с	2	2
30	языка но и	1	2
31	в свою очередь	2	2
32	можно говорить о	1	1
33	заключается в том	1	1
34	о том что	1	1
35	в данный момент	2	1
36	в виду не	3	1
37	как это имеет	1	1
38	том что в	1	1
39	в большинстве случаев	1	1
40	если мы имеем	1	1
41	в узком и	1	1
42	бы то ни	1	1
43	таким же образом	1	1
44	с одной стороны	2	1
45	и здесь мы	1	1
46	в одном и	1	1
47	может быть это	1	1
48	в иных случаях	1	1
49	что иное как	1	1
50	это имеет место	1	1
51	как и в	2	1
52	в нашем языковом	1	1
53	тех или иных	3	1
54	может быть и	2	1
55	в противном случае	1	1
56	то ни было	1	1
57	не более чем	1	1
58	они ни были	1	1
59	тем или иным	1	1
60	к тому что	2	1
61	мере в какой	1	1
62	том или ином	1	1
63	одном и том	1	1
64	тот или иной	2	1
65	как впрочем и	1	1
66	а не с	1	1
67	состоит в том	5	1
68	в то время	1	1
69	в том или	1	1
70	и в этой	1	1
71	я думаю что	1	1
72	могла бы послужить	1	1
73	виду не только	3	1
74	не что иное	1	1
75	но он не	1	1
76	вследствие того что	1	1
77	в значительной степени	1	1
78	той мере в	1	1
79	в силу своей	1	1
80	сказать что для	1	1
81	не только такие	1	1
82	только то что	1	1
83	не могут быть	2	1
84	и том же	1	1
85	в известном смысле	1	1
86	а на деле	1	1
87	как будто по	1	1
88	сама по себе	1	1
89	есть не что	1	1
90	в виду что	1	1
91	состоит не в	1	1
92	дело в том	1	1
93	в соответствии со	1	1
94	нашем языковом сознании	1	1
95	в той мере	1	1
96	в данном случае	5	1
97	иметь в виду	1	1
98	приводит к тому	2	1
