N	3gram	Bakhtin_Fr_8	Problemy
1	то же время	10	10
2	в то же	10	10
3	на самом деле	1	9
4	с самого начала	1	8
5	по отношению к	1	6
6	мы уже говорили	7	5
7	в той или	1	4
8	но в то	2	4
9	на протяжении всего	1	4
10	и прежде всего	1	4
11	той или иной	1	4
12	друг с другом	1	4
13	в этом смысле	1	3
14	и в самом	1	3
15	бы то ни	2	3
16	же время не	1	3
17	уже говорили что	5	3
18	то ни было	1	3
19	друг к другу	1	3
20	с другой стороны	2	3
21	и в нем	1	3
22	не может быть	2	3
23	к тому же	1	3
24	и наконец в	1	2
25	с точки зрения	2	2
26	и в то	5	2
27	в отличие от	1	2
28	можно было бы	1	2
29	или иной степени	1	2
30	что все это	2	2
31	нет ни одного	1	2
32	там где он	1	2
33	и в этом	1	2
34	так и в	1	2
35	и в слове	1	2
36	подобно тому как	1	2
37	в большинстве случаев	6	2
38	как мы уже	2	2
39	в том что	6	2
40	как мы знаем	1	2
41	как к своему	1	1
42	говорит о себе	1	1
43	еще далеко не	1	1
44	построено так чтобы	1	1
45	схватил его за	1	1
46	в которой он	1	1
47	одним из средств	1	1
48	он мог бы	1	1
49	в чем же	1	1
50	потому что в	1	1
51	дело в том	2	1
52	бы ни был	1	1
53	и в первой	1	1
54	в самом деле	1	1
55	и в особенности	2	1
56	более глубокий и	1	1
57	может и не	1	1
58	сих пор еще	4	1
59	в нем и	2	1
60	до сих пор	8	1
61	как мы сказали	1	1
62	и в других	1	1
63	вместе с тем	1	1
64	и т.п но	1	1
65	но и эта	1	1
66	том или ином	1	1
67	заложенные в них	1	1
68	в точке пересечения	1	1
69	во всем он	1	1
70	что дело идет	1	1
71	главным образом в	1	1
72	и то что	1	1
73	в непосредственной близости	1	1
74	может быть и	1	1
75	глазах и в	1	1
76	о том как	1	1
77	как бы хочет	1	1
78	и на меня	1	1
79	в том или	1	1
80	с такою же	1	1
81	в данном случае	2	1
82	всем последующем творчестве	1	1
83	начинает звучать как	1	1
84	вот пример такого	1	1
85	так органически и	1	1
86	во всем последующем	1	1
87	все без исключения	1	1
88	самом деле и	1	1
89	и как бы	1	1
90	в большей или	3	1
91	или меньшей степени	3	1
92	мертвых душ и	2	1
93	да еще с	1	1
94	один из моментов	1	1
95	и в отношении	1	1
96	это конечно не	1	1
97	прежде всего в	1	1
98	как впрочем и	1	1
99	можно прямо сказать	1	1
100	вот как описывает	1	1
101	потому что они	1	1
102	мы видели что	3	1
103	в свое время	1	1
104	здесь как бы	2	1
105	в то время	2	1
106	с одной из	2	1
107	между этими двумя	1	1
108	и с этой	1	1
109	как и в	4	1
110	имел в виду	1	1
111	большей или меньшей	3	1
112	то есть все	1	1
113	все эти слова	1	1
114	и вместе с	1	1
115	уже говорили в	1	1
116	о том что	2	1
117	же время как	1	1
118	приведем еще один	1	1
119	никогда не бывает	1	1
120	не только не	2	1
121	в реальной действительности	1	1
122	еще один пример	1	1
123	остается той же	1	1
124	можно сказать что	2	1
125	как бы ни	1	1
126	становятся как бы	1	1
127	вопрос о том	1	1
128	как бы в	1	1
129	это как бы	1	1
130	и во всем	1	1
131	друг другу как	1	1
132	как мы видели	2	1
133	деле и в	1	1
134	для того чтобы	2	1
135	то же самое	1	1
136	в глубине души	1	1
137	в этом отношении	1	1
138	своих товарищей и	1	1
