N	3gram	Bakhtin_Pr_1	Psycholo
1	в самом деле	2	18
2	в том что	6	11
3	с точки зрения	13	9
4	то же самое	1	8
5	для того чтобы	1	8
6	все то что	3	6
7	заключается в том	1	6
8	с самого начала	1	6
9	до сих пор	2	5
10	и т п	3	5
11	с другой стороны	3	5
12	и т д	1	4
13	и в этом	5	3
14	как если бы	1	3
15	там где она	1	3
16	мы уже говорили	1	3
17	о том что	1	3
18	то и другое	1	3
19	а вовсе не	1	2
20	на самом деле	4	2
21	плана в которых	1	2
22	только то что	2	2
23	то что в	1	2
24	то время как	1	2
25	не совпадает с	1	2
26	в данном случае	2	2
27	в один из	1	2
28	не в том	1	2
29	во всяком случае	3	2
30	в лучшем случае	2	2
31	в то время	1	2
32	в свою очередь	1	2
33	к тому что	1	2
34	как мы видели	1	2
35	то все же	1	1
36	у них нет	1	1
37	и в сущности	2	1
38	но все же	2	1
39	потому что он	1	1
40	в первой части	1	1
41	более или менее	1	1
42	как и всякое	1	1
43	имеем в виду	1	1
44	мы должны были	1	1
45	в том и	1	1
46	нам кажется что	1	1
47	того или иного	1	1
48	он не может	1	1
49	они не могут	1	1
50	данном случае и	1	1
51	в зависимости от	5	1
52	не могло бы	1	1
53	бы сказать так	1	1
54	автора и как	2	1
55	не было бы	1	1
56	таким образом все	2	1
57	в этом отношении	3	1
58	несмотря на свою	1	1
59	можно было бы	2	1
60	несмотря на их	1	1
61	должна быть совершенно	1	1
62	может быть и	1	1
63	что дело идет	1	1
64	она может быть	1	1
65	мы уже указали	1	1
66	конечно не в	1	1
67	если бы действительно	1	1
68	и что в	1	1
69	может быть понято	1	1
70	там где он	1	1
71	не потому что	1	1
72	дело идет о	3	1
73	тот же самый	1	1
74	в той же	2	1
75	отношение к своему	1	1
76	как один из	1	1
77	в обычном смысле	1	1
78	дело далеко не	1	1
79	не только как	1	1
80	что он всецело	1	1
81	перед нами в	1	1
82	что все эти	1	1
83	в целом ряде	2	1
84	в этом рассказе	1	1
85	этой точки зрения	1	1
86	а в том	1	1
87	было дано в	1	1
88	по сравнению с	1	1
89	в их основе	2	1
90	не только не	1	1
91	жизни а не	1	1
92	чего он не	1	1
93	можно сказать что	1	1
94	но и не	2	1
95	быть понято как	1	1
96	как бы в	2	1
97	по преимуществу в	1	1
98	таким образом и	1	1
99	потому что она	3	1
100	как в музыке	2	1
101	не может быть	4	1
102	в высшей степени	1	1
103	она не может	1	1
104	подобно тому как	3	1
