N	4gram	Losev_Dial_4	Psycholo
1	с этой точки зрения	2	4
2	одной и той же	3	3
3	заключается не в том	1	2
4	и тем не менее	1	1
5	т д все это	1	1
6	т д и т	2	1
7	дело в том что	1	1
8	от тех или иных	1	1
9	д и т д	2	1
10	и т д и	3	1
11	ясно что с точки	1	1
12	не что иное как	8	1
13	и т д все	2	1
14	в том случае если	1	1
15	что с точки зрения	1	1
16	не в том что	4	1
17	в коем случае не	2	1
18	может быть иной раз	1	1
19	ни в коем случае	2	1
20	уже не может быть	1	1
21	об одной и той	1	1
22	поскольку речь идет о	1	1
