N	2gram	Medvedev_B_1	Myshleni
1	таким образом	1	25
2	и в	1	20
3	что в	1	19
4	не только	1	15
5	с другой	1	12
6	другой стороны	1	9
7	было бы	1	8
8	и не	2	8
9	в своей	1	7
10	значение слова	1	7
11	и более	1	7
12	а не	1	7
13	и на	1	6
14	можно было	2	6
15	все же	1	5
16	так и	1	5
17	представляется нам	1	4
18	в области	1	4
19	в речи	1	4
20	между ними	1	4
21	во всяком	1	4
22	отнюдь не	1	3
23	что все	1	3
24	и во	1	3
25	одной из	1	3
26	всяком случае	1	3
27	совершенно не	1	3
28	должна быть	1	2
29	видеть в	2	2
30	в ней	2	2
31	остановиться на	1	2
32	то как	1	2
33	же не	1	2
34	далеко не	1	2
35	по нашему	1	2
36	никак не	1	2
37	еще не	1	2
38	прежде всего	1	2
39	нашему мнению	1	2
40	в данном	1	2
41	на самом	1	1
42	его не	1	1
43	вопрос о	1	1
44	говорить о	1	1
45	не то	2	1
46	не все	1	1
47	меньшей мере	1	1
48	более подробно	1	1
49	моментом в	1	1
50	больше чем	2	1
51	точке зрения	1	1
52	у нас	3	1
53	выпадает из	1	1
54	всего в	1	1
55	случае очень	1	1
56	переходя к	1	1
57	в научном	1	1
58	свое название	1	1
59	на которой	1	1
60	только одной	1	1
61	и ее	1	1
62	теоретической и	1	1
63	и потому	1	1
64	почти совершенно	1	1
65	все это	2	1
66	тем более	1	1
67	из своей	1	1
