N	3gram	Berdyaev_M_1	DiskursI
1	в отличие от	1	12
2	в том что	1	6
3	по отношению к	2	4
4	не может быть	17	3
5	о том что	1	3
6	и не может	2	2
7	в наше время	1	2
8	заключает в себе	3	2
9	еще в одном	1	2
10	по природе своей	1	2
11	несет в себе	1	2
12	в мире и	1	2
13	двоится для человека	1	1
14	но и от	1	1
15	потому что в	3	1
16	прежде всего в	2	1
17	в самом деле	1	1
18	отличается не только	1	1
19	свет и на	1	1
20	раскрывается не в	1	1
21	но это не	1	1
22	в своем творчестве	2	1
23	в значительной степени	1	1
24	обращение к богу	1	1
25	и не быть	1	1
26	как будто бы	2	1
27	не могут быть	2	1
28	в себе страшную	1	1
29	не в том	1	1
30	во всяком случае	1	1
31	между тем как	1	1
32	в иных случаях	1	1
33	добра и зла	4	1
34	тем что он	2	1
35	но не менее	1	1
36	но также и	1	1
37	место в творчестве	1	1
38	в себе самом	1	1
39	не только от	1	1
