N	3gram	Nazirov_Tr_1	KulturaY
1	и т п	1	41
2	в самом деле	1	11
3	тем не менее	1	9
4	в том что	2	8
5	в этом случае	1	4
6	в данном случае	2	4
7	и в этом	1	4
8	в связи с	1	4
9	и в самом	2	4
10	после того как	1	4
11	сам по себе	1	3
12	не может быть	1	3
13	так и в	3	3
14	о том что	2	3
15	смысле этого слова	1	2
16	в отличие от	2	2
17	ничего не значит	1	2
18	не могут быть	1	2
19	на русский язык	1	2
20	но это уже	1	1
21	в чем же	1	1
22	бы может быть	1	1
23	не было до	1	1
24	не есть с	1	1
25	и не может	1	1
26	что он не	1	1
27	имеет в виду	1	1
28	не только не	1	1
29	в известной мере	1	1
30	хотя бы и	1	1
31	общем смысле этого	1	1
32	в виду не	1	1
33	может быть не	1	1
34	ответа на вопрос	1	1
35	в общем смысле	1	1
36	и при этом	1	1
37	по природе своей	1	1
38	то что он	1	1
39	во всяком случае	1	1
40	на вопрос о	1	1
41	то же время	5	1
42	создается впечатление что	1	1
43	и вместе с	1	1
44	что в ней	1	1
45	еще ничего не	1	1
46	но все же	2	1
47	в то же	5	1
48	в одном из	1	1
49	к тому что	1	1
50	о совершенно ином	1	1
