N	3gram	Tiupa_Narr_2	Myshleni
1	в том что	8	19
2	по сравнению с	1	14
3	по отношению к	5	10
4	с точки зрения	2	10
5	для того чтобы	1	8
6	к тому что	3	7
7	так же как	2	6
8	в то время	1	6
9	можно сказать что	3	6
10	то же самое	1	6
11	в зависимости от	1	5
12	можно было бы	1	5
13	то время как	1	5
14	и тем самым	2	5
15	и того же	1	4
16	тому что он	2	4
17	одного и того	1	4
18	до сих пор	1	3
19	в этом отношении	3	3
20	состоит в том	4	2
21	начинается с того	1	2
22	в этом смысле	1	2
23	и не может	2	2
24	на этот вопрос	1	2
25	как раз в	1	2
26	то что он	1	2
27	что все эти	1	2
28	вместо того чтобы	1	2
29	с того что	1	2
30	не может существовать	1	2
31	не только не	2	2
32	в связи с	1	2
33	в том смысле	1	2
34	так и по	2	2
35	мы имеем дело	2	2
36	не может быть	2	2
37	таким образом что	1	1
38	другому человеку и	1	1
39	что иное как	1	1
40	то что я	1	1
41	в которой он	1	1
42	на самом деле	2	1
43	в своем собственном	1	1
44	никак не может	1	1
45	в ответ на	2	1
46	как раз и	1	1
47	что он может	1	1
48	именно то что	2	1
49	того что есть	1	1
50	только в двух	1	1
51	самом деле не	1	1
52	в отличие от	5	1
53	не может иметь	1	1
54	но то же	1	1
55	у него еще	1	1
56	по аналогии с	1	1
57	точно так же	2	1
58	с этой точки	1	1
59	него еще нет	1	1
60	едва ли не	1	1
61	в том или	1	1
62	за собой и	1	1
63	в данном случае	6	1
64	не только в	6	1
65	с одной стороны	5	1
66	может и должен	1	1
67	имеем дело с	2	1
68	в этом направлении	1	1
69	только к нему	1	1
70	как бы в	2	1
71	этой точки зрения	1	1
72	и все же	2	1
73	есть не что	1	1
74	которое может быть	1	1
75	но с другой	1	1
76	не что иное	1	1
77	не может не	1	1
78	не непосредственно а	1	1
79	смысле можно сказать	1	1
80	в самом деле	1	1
81	в каждой из	1	1
82	интереса к структуре	1	1
83	той или иной	3	1
84	тем не менее	4	1
85	подобно тому как	2	1
86	и к другому	1	1
87	и в другом	1	1
