N	4gram	Vygotskiy__1	Myslijsy
1	одно и то же	2	5
2	в то же время	1	5
3	но тем не менее	1	2
4	одной и той же	2	2
5	в том что он	1	2
6	потому что он не	1	2
7	вместе с тем и	1	2
8	между тем и другим	2	1
9	и та и другая	1	1
10	сам по себе способен	1	1
11	собственном смысле этого слова	3	1
12	единство звука и значения	1	1
13	потому что оно есть	1	1
14	или по крайней мере	1	1
15	с одной стороны и	1	1
16	между звуком и значением	1	1
17	в том что только	1	1
18	в то время как	4	1
19	в силу того что	1	1
20	сливаются друг с другом	1	1
21	но вместе с тем	4	1
22	заключается в том что	4	1
23	в том что этот	1	1
24	в собственном смысле этого	3	1
