N	2gram	Propp_Morf_1	Problema
1	в его	1	43
2	и не	12	42
3	и в	13	38
4	не может	14	27
5	может быть	52	26
6	как бы	3	22
7	по отношению	4	21
8	отношению к	4	19
9	и с	1	17
10	и его	1	16
11	в этом	14	15
12	и т	41	14
13	только в	2	13
14	прежде всего	9	13
15	независимо от	3	13
16	но не	4	12
17	во всех	4	11
18	в области	1	11
19	ни в	1	11
20	и для	2	11
21	не входит	1	10
22	отношение к	1	10
23	таким образом	21	10
24	материала в	1	10
25	к нему	3	10
26	не только	4	9
27	не имеет	2	9
28	его в	2	9
29	но и	4	9
30	и как	5	8
31	входит в	2	8
32	было бы	3	8
33	точки зрения	2	8
34	для нее	1	8
35	в том	6	8
36	и др	10	8
37	то что	8	8
38	еще не	3	7
39	вообще не	1	7
40	как и	3	7
41	и становится	1	7
42	не в	3	7
43	как мы	6	7
44	с другой	8	7
45	между тем	5	7
46	с помощью	1	7
47	совершенно не	1	7
48	в своей	1	7
49	что в	8	7
50	самом деле	4	6
51	там где	5	6
52	и наконец	1	6
53	в пределах	3	6
54	форма есть	1	6
55	не всегда	9	6
56	с точки	2	6
57	не есть	1	6
58	и этим	5	6
59	ничего не	4	6
60	дело с	1	6
61	мы можем	2	6
62	все же	7	6
63	а в	7	6
64	высшей степени	1	5
65	тем как	1	5
66	отличие от	1	5
67	все эти	2	5
68	при этом	1	5
69	то же	7	5
70	это не	6	5
71	в них	1	5
72	в высшей	1	5
73	далеко не	5	5
74	так и	6	5
75	в основе	1	5
76	большинстве случаев	3	5
77	в большинстве	3	5
78	не на	2	5
79	а не	11	5
80	могут быть	16	5
81	должно быть	1	5
82	все они	1	5
83	на самом	4	4
84	должна быть	1	4
85	в виду	1	4
86	как в	3	4
87	но в	2	4
88	в нашем	3	4
89	в себе	1	4
90	в данном	1	4
91	не менее	5	4
92	но они	1	4
93	в то	3	4
94	форма не	1	4
95	известной степени	1	4
96	должны быть	1	4
97	здесь не	2	4
98	данном случае	1	4
99	можно было	2	4
100	не с	2	4
101	о том	2	4
102	с ними	1	4
103	в других	3	4
104	в форме	6	4
105	что не	1	4
106	материал в	1	4
107	лишь как	1	4
108	хотя бы	4	4
109	может и	1	4
110	между ними	1	4
111	сказать что	2	4
112	другой стороны	4	4
113	ли мы	1	3
114	также и	4	3
115	например в	2	3
116	противном случае	1	3
117	говорить о	3	3
118	бы то	3	3
119	мы будем	3	3
120	значение для	1	3
121	помнить что	1	3
122	кроме того	1	3
123	и к	4	3
124	не будем	4	3
125	в целом	3	3
126	работ по	1	3
127	он не	3	3
128	то ни	3	3
129	с другими	1	3
130	и тем	2	3
131	несмотря на	4	3
132	том что	4	3
133	тем не	5	3
134	на него	3	3
135	как его	1	3
136	в противном	1	3
137	или как	1	3
138	хотя и	3	3
139	приводит к	2	3
140	ясно что	5	3
141	если бы	2	3
142	но здесь	1	3
143	на ее	1	3
144	содержания но	1	3
145	иных случаях	2	3
146	но с	1	3
147	одной из	1	3
148	мы увидим	8	3
149	как нечто	1	3
150	с одной	1	3
151	со всеми	1	3
152	вопроса о	1	3
153	слова не	1	3
154	как такового	1	3
155	и даже	1	3
156	материала а	2	3
157	оно не	2	3
158	себя и	2	3
159	одной стороны	1	3
160	в иных	4	3
161	и на	1	3
162	в тех	6	3
163	но это	6	3
164	не является	3	3
165	она может	1	3
166	от него	1	3
167	и все	1	3
