N	3gram	Losev_Prob_1	Myshleni
1	с точки зрения	3	18
2	для того чтобы	8	15
3	в том что	5	15
4	с другой стороны	3	9
5	заключается в том	1	6
6	о том что	5	6
7	вместе с тем	1	5
8	так же как	2	5
9	не может быть	2	5
10	в то время	1	5
11	же как и	1	4
12	до сих пор	3	4
13	то время как	1	4
14	в этом отношении	1	4
15	можно сказать что	3	4
16	таким образом что	1	3
17	на то что	8	3
18	то же самое	9	3
19	сам по себе	7	3
20	в первую очередь	1	3
21	можно было бы	2	3
22	к тому что	1	3
23	в том чтобы	1	3
24	во всяком случае	3	3
25	и тем самым	3	3
26	если бы он	1	2
27	он должен быть	1	2
28	и то же	1	2
29	есть прежде всего	1	2
30	указывает на то	3	2
31	в известном смысле	1	2
32	на первый план	1	2
33	является то что	1	2
34	в сущности говоря	1	2
35	именно в этом	2	2
36	одно и то	1	2
37	так как он	2	2
38	в данном случае	8	2
39	по своей структуре	1	2
40	если мы хотим	2	2
41	мы говорили выше	2	2
42	всего его построения	1	2
43	тем и другим	2	2
44	химическая формула воды	1	2
45	между тем и	1	2
46	что может быть	2	2
47	в самом деле	2	2
48	оставить в стороне	1	2
49	в то же	4	2
50	только тогда когда	1	2
51	также и на	3	1
52	а следовательно и	1	1
53	которых мы говорили	1	1
54	сказать что он	1	1
55	между прочим в	1	1
56	само собой разумеется	1	1
57	с которыми мы	1	1
58	в дальнейшем и	1	1
59	в чем же	1	1
60	с первого взгляда	1	1
61	дело в том	3	1
62	которыми мы встречаемся	1	1
63	должны сказать что	1	1
64	на самом деле	4	1
65	в этом смысле	6	1
66	хотят сказать что	2	1
67	в том же	1	1
68	как раз и	7	1
69	о которой мы	1	1
70	одного предмета на	1	1
71	так как они	2	1
72	и в то	1	1
73	того что мы	1	1
74	как мы увидим	2	1
75	хотя и не	2	1
76	только то что	4	1
77	же самое время	4	1
78	всего то что	1	1
79	с одного предмета	1	1
80	ту или другую	1	1
81	точно так же	4	1
82	и как бы	2	1
83	то что в	3	1
84	то что обычно	1	1
85	по крайней мере	2	1
86	и то что	2	1
87	в известной мере	1	1
88	всего учения о	1	1
89	в виде общего	1	1
90	как раз в	1	1
91	раз и является	1	1
92	предмета на другой	1	1
93	содержит в себе	7	1
94	в этой области	2	1
95	в результате этого	1	1
96	никакой связи с	1	1
97	если бы мы	1	1
98	не только в	1	1
99	если оставить в	1	1
100	однако и здесь	2	1
101	и с точки	1	1
102	в конце концов	4	1
103	и не быть	1	1
104	потому что оно	2	1
105	как мы это	1	1
106	и потому что	1	1
107	и в этом	2	1
108	тем что в	2	1
109	не связаны между	1	1
110	или по крайней	1	1
111	и на его	2	1
112	только в самом	1	1
113	не дает для	1	1
114	она содержит в	1	1
115	в одной точке	1	1
116	однако ясно что	1	1
117	мы хотим действительно	1	1
118	есть не только	1	1
119	о которых мы	2	1
120	но что ее	1	1
121	до наших дней	1	1
122	и до наших	1	1
123	который ничего не	2	1
124	хотя бы даже	1	1
125	перед нами как	1	1
126	что оно есть	1	1
127	но для того	1	1
128	что в этой	1	1
129	не хочет знать	1	1
130	то что мы	6	1
131	это значит что	1	1
132	мы должны сказать	2	1
133	формула воды но	1	1
134	не только не	3	1
135	то что находится	1	1
136	и тем более	1	1
137	данной функции в	1	1
138	мы будем говорить	1	1
139	в чем именно	1	1
140	его вовсе не	1	1
141	и все прочие	1	1
142	которой мы говорили	1	1
143	о чем мы	1	1
144	что в процессе	1	1
145	как мы уже	1	1
146	когда мы говорим	2	1
147	сама по себе	4	1
148	и т д	10	1
149	тем не менее	18	1
150	прочим в том	1	1
151	а именно в	1	1
152	как и в	1	1
153	той или иной	4	1
154	мы встречаемся в	1	1
155	которые не имеют	1	1
