N	3gram	Bakhtin_Pr_2	Myshleni
1	в том что	4	31
2	с точки зрения	9	11
3	в этом смысле	5	8
4	с другой стороны	1	8
5	в этом отношении	2	7
6	смысле этого слова	2	7
7	друг с другом	2	7
8	в самом деле	3	6
9	тот же предмет	1	6
10	и того же	1	5
11	можно было бы	1	5
12	так же как	3	5
13	одного и того	1	5
14	для того чтобы	1	5
15	и той же	1	4
16	же как и	2	4
17	одной и той	1	4
18	этой точки зрения	2	4
19	на то что	2	4
20	в этом случае	1	3
21	по сравнению с	2	3
22	о том что	3	3
23	оно может быть	1	2
24	в том числе	2	2
25	в отличие от	1	2
26	том числе и	2	2
27	в данном случае	1	2
28	в высшей степени	1	2
29	мы видим что	1	2
30	мы уже говорили	2	2
31	в целом ряде	2	2
32	в свое время	2	2
33	подобно тому как	2	2
34	в том смысле	1	2
35	стадии своего развития	2	2
36	как мы видели	3	2
37	как и у	1	1
38	можем сказать что	2	1
39	прежде всего в	1	1
40	далеко не все	1	1
41	на самом деле	1	1
42	том что на	1	1
43	мы постараемся показать	1	1
44	так чтобы она	1	1
45	и относится к	1	1
46	что с точки	1	1
47	в зависимости от	3	1
48	что он не	1	1
49	не входит в	2	1
50	котором мы говорили	1	1
51	мысли как таковой	1	1
52	до сих пор	2	1
53	так как он	1	1
54	же что и	1	1
55	и со стороны	1	1
56	то время как	1	1
57	том что мы	1	1
58	себе не имеет	1	1
59	далеко не всегда	1	1
60	не только в	1	1
61	в противоречии с	1	1
62	в конце концов	3	1
63	как один из	1	1
64	в которой они	1	1
65	это положение в	1	1
66	и как бы	2	1
67	то же что	2	1
68	перед нами в	2	1
69	со стороны его	1	1
70	к тому же	1	1
71	друг к другу	3	1
72	не опирается на	1	1
73	сказать что и	1	1
74	о котором мы	1	1
75	как бы в	2	1
76	в таком смысле	1	1
77	не может быть	6	1
78	здесь мы должны	1	1
79	не имеет ничего	1	1
80	по себе не	1	1
81	слова мы уже	1	1
82	в то время	1	1
83	по отношению к	8	1
84	с другом в	1	1
85	само по себе	2	1
86	ничего общего с	1	1
87	мы можем сказать	2	1
88	с самого начала	1	1
89	мы должны рассматривать	2	1
90	как мы сейчас	1	1
91	но все же	2	1
92	можно сказать что	2	1
93	друг от друга	2	1
94	является одной из	1	1
95	лежащие в основе	1	1
96	тех или иных	1	1
97	тем не менее	1	1
98	и самое слово	1	1
99	или лучше сказать	1	1
100	мы старались показать	1	1
101	может быть в	1	1
102	может быть даже	2	1
