N	3gram	Tiupa_Vved_1	Dialekti
1	в том что	3	9
2	что иное как	1	8
3	не что иное	1	8
4	по крайней мере	1	7
5	не может быть	3	6
6	то же время	3	6
7	в то же	4	6
8	в этом смысле	1	4
9	само по себе	1	4
10	не в том	1	4
11	и стало быть	1	4
12	подобно тому как	2	4
13	и в этом	1	3
14	той или другой	1	3
15	на то что	1	3
16	о том как	1	2
17	и в то	1	2
18	а стало быть	1	2
19	то что мы	1	2
20	в свою очередь	4	2
21	тем не менее	3	2
22	ни о каких	1	1
23	другой стороны в	1	1
24	или другой стороны	1	1
25	мы имеем дело	3	1
26	а не в	1	1
27	что это не	1	1
28	оба эти момента	1	1
29	может быть только	1	1
30	мы всегда можем	1	1
31	не было и	1	1
32	в зависимости от	1	1
33	не входит в	1	1
34	в отличие от	2	1
35	и та же	1	1
36	можно сказать что	1	1
37	не было бы	1	1
38	во всей его	1	1
39	в основе своей	1	1
40	исходя из того	1	1
41	а не только	1	1
42	содержит в себе	1	1
43	в данном случае	6	1
44	и вот теперь	1	1
45	если бы мы	1	1
46	не только в	2	1
47	стало быть и	1	1
48	это не так	1	1
49	по природе своей	1	1
50	в нашем случае	2	1
51	в нем не	1	1
52	в связи с	1	1
53	а не как	1	1
54	но только в	1	1
55	и мы не	1	1
56	как бы в	1	1
57	было и не	1	1
58	как таковой в	1	1
59	с той или	1	1
60	потому что стало	1	1
61	в этом случае	1	1
62	одна и та	1	1
63	картина мира и	1	1
64	о том что	4	1
65	которое может быть	1	1
66	и прежде всего	1	1
67	одна из этих	1	1
68	речь идет о	1	1
69	с другой стороны	1	1
70	времени что такое	1	1
71	друг от друга	1	1
72	ни одна из	1	1
73	но это не	1	1
74	может варьироваться на	1	1
75	как формы бытия	1	1
76	оно и не	1	1
77	но если бы	1	1
78	из того что	1	1
79	стало быть не	1	1
80	той или иной	2	1
