N	3gram	Losev_Prob_4	Myslijsy
1	более или менее	2	8
2	сами по себе	2	7
3	во всяком случае	4	7
4	в том что	8	7
5	в свою очередь	1	6
6	по крайней мере	6	5
7	тем не менее	10	5
8	до сих пор	1	4
9	сам по себе	6	4
10	то и другое	3	4
11	в то время	2	4
12	в том смысле	2	4
13	на то что	1	3
14	то время как	2	3
15	с одной стороны	1	3
16	то есть не	3	3
17	и т п	1	3
18	и т д	3	3
19	потому что его	1	2
20	и может быть	1	2
21	на самом деле	3	2
22	как и во	1	2
23	нам кажется что	1	2
24	не может обойтись	2	2
25	в таком случае	1	2
26	то что в	1	2
27	том смысле как	1	2
28	одно и то	1	2
29	только потому что	1	2
30	или по крайней	2	2
31	не в том	1	2
32	с другой стороны	6	2
33	для того чтобы	2	2
34	независимо от их	1	2
35	так и в	1	2
36	само по себе	1	2
37	во всем этом	1	2
38	с самого начала	1	2
39	в этом смысле	3	2
40	в то же	2	2
41	и не имеет	1	2
42	сама по себе	2	2
43	в сравнении с	2	2
44	если бы он	1	1
45	представим себе что	1	1
46	поэтому в противоположность	1	1
47	одном и том	1	1
48	и всякого рода	1	1
49	дело в том	1	1
50	что то же	1	1
51	здесь может быть	1	1
52	еще не дает	1	1
53	но так как	1	1
54	может обойтись без	2	1
55	что это не	1	1
56	это было бы	1	1
57	в таком виде	1	1
58	но даже и	4	1
59	у нас в	1	1
60	том что он	1	1
61	о том как	1	1
62	т д и	1	1
63	что же касается	1	1
64	только в том	3	1
65	и в других	2	1
66	в чем-то третьем	1	1
67	по себе и	1	1
68	бы то ни	1	1
69	в сознании но	1	1
70	обратить внимание на	1	1
71	и не может	1	1
72	при помощи этого	1	1
73	отчет в том	3	1
74	к мысли о	1	1
75	с этой точки	1	1
76	и не в	1	1
77	вместе с тем	3	1
78	не то что	1	1
79	а если и	2	1
80	и тем не	3	1
81	в одном и	1	1
82	не имеем в	1	1
83	как и в	1	1
84	она еще не	1	1
85	себе отчет в	2	1
86	то ни было	1	1
87	мы не знаем	1	1
88	и том же	1	1
89	сказать потому что	1	1
90	из них это	1	1
91	никто не скажет	1	1
92	и в нашем	1	1
93	имеет ничего общего	2	1
94	в том как	1	1
95	между собою и	1	1
96	по сравнению с	1	1
97	то тем самым	1	1
98	не связанных между	1	1
99	в одном случае	2	1
100	в связи с	3	1
101	друг к другу	1	1
102	при этом мы	1	1
103	для сознания и	1	1
104	или лучше сказать	1	1
105	не имеет ничего	2	1
106	если бы и	1	1
107	далеко не все	1	1
108	нет никакой возможности	2	1
109	а в том	1	1
110	когда мы произносим	1	1
111	не есть нечто	1	1
112	и как бы	1	1
113	что не только	1	1
114	том смысле что	1	1
115	в том чтобы	2	1
116	была бы для	1	1
117	и независимо от	2	1
118	о том что	3	1
119	ничего общего с	2	1
120	то есть в	6	1
121	и тем самым	1	1
122	вопрос о том	1	1
123	в том виде	2	1
124	не менее в	1	1
125	но все же	1	1
126	слова того же	1	1
127	во всех случаях	1	1
128	человек вовсе не	1	1
129	бы для него	1	1
130	здесь как и	2	1
