N	2gram	Berdyaev_V_1	Literetu
1	не только	2	24
2	но и	5	17
3	а не	7	16
4	в том	3	16
5	том что	2	14
6	и не	20	12
7	в этом	4	12
8	прежде всего	2	11
9	то что	9	10
10	не в	3	8
11	и в	16	8
12	только в	2	8
13	в его	4	7
14	как бы	5	7
15	уже не	2	7
16	в жизни	3	6
17	и я	4	6
18	как и	4	6
19	и сам	2	6
20	того что	5	6
21	с его	3	5
22	что он	4	5
23	это не	2	4
24	в конце	3	4
25	но не	2	4
26	еще не	8	4
27	в своей	3	4
28	так и	4	4
29	никогда не	3	4
30	лишь в	3	4
31	не было	3	3
32	что в	3	3
33	и есть	4	3
34	самого себя	2	3
35	да и	2	3
36	одна из	2	3
37	свободы от	3	3
38	один из	2	3
39	жизни и	3	3
40	всего в	2	3
41	а в	2	3
42	сознания от	2	3
43	более чем	2	3
44	потому что	4	3
45	во всяком	2	3
46	но в	3	3
47	мира в	2	3
48	во мне	4	2
49	во имя	32	2
50	должна быть	3	2
51	для них	2	2
52	по этому	3	2
53	превращается в	3	2
54	мир и	2	2
55	человека и	6	2
56	в себя	2	2
57	в мире	5	2
58	к тому	3	2
59	что я	3	2
60	для него	2	2
61	в нем	4	2
62	то это	3	2
63	не есть	6	2
64	не к	2	2
65	на том	2	2
66	освобождения от	2	2
67	все эти	3	2
68	что не	4	2
69	хотя бы	3	2
70	можно было	2	2
71	и то	2	2
72	между тем	2	2
73	тем что	2	2
74	могут быть	2	2
75	на себя	5	2
76	нет ничего	3	2
