N	2gram	Bakhtin_Fr_8	Problema
1	то есть	24	39
2	то что	3	38
3	и не	9	37
4	вовсе не	6	37
5	и в	56	35
6	сказать что	3	24
7	не только	8	24
8	том что	8	19
9	о том	4	18
10	может быть	3	18
11	в этом	14	17
12	в настоящее	3	16
13	но и	9	16
14	настоящее время	3	16
15	только в	9	14
16	потому что	6	13
17	не может	2	13
18	в том	13	12
19	также и	2	12
20	что в	5	11
21	прежде всего	6	11
22	так что	3	11
23	не просто	3	11
24	и даже	8	11
25	и с	8	10
26	еще не	10	10
27	а не	2	10
28	в данном	2	10
29	и то	2	10
30	в этой	6	9
31	только на	2	9
32	уже не	3	8
33	было бы	2	8
34	значение и	2	8
35	как раз	2	8
36	все же	2	8
37	казалось бы	3	7
38	совсем не	2	7
39	все эти	15	7
40	в его	18	7
41	так и	13	7
42	бы и	2	7
43	так как	4	7
44	мы не	2	7
45	с другой	2	6
46	что все	4	6
47	можно сказать	2	6
48	ни в	2	6
49	но это	2	6
50	был бы	3	6
51	в то	12	6
52	и для	2	6
53	в виде	2	6
54	но в	6	6
55	в области	5	6
56	в частности	7	5
57	кроме того	3	5
58	в самом	9	5
59	той или	2	5
60	данном случае	2	5
61	языка и	6	5
62	в связи	3	5
63	с одной	4	5
64	так же	2	5
65	и на	7	5
66	и более	4	5
67	и все	6	5
68	как и	5	5
69	связи с	6	5
70	по своему	8	5
71	то же	11	5
72	как мы	7	5
73	одной стороны	2	5
74	другой стороны	2	5
75	в себе	4	5
76	еще и	3	5
77	не был	4	4
78	в этих	11	4
79	в своем	3	4
80	в отношении	5	4
81	что на	2	4
82	и как	2	4
83	более или	2	4
84	между собою	2	4
85	как бы	11	4
86	что она	2	4
87	все это	8	4
88	таким образом	17	4
89	а в	2	4
90	в результате	5	4
91	их в	4	4
92	и здесь	3	4
93	всех этих	3	4
94	если бы	2	4
95	что он	2	4
96	но не	5	4
97	до сих	8	4
98	ни о	2	4
99	и о	3	4
100	языке и	2	4
101	сих пор	8	4
102	или менее	2	4
103	и самый	3	4
104	на самом	2	4
105	самом деле	2	4
106	в каком	2	4
107	далеко не	2	4
108	слова и	3	4
109	уже в	2	3
110	в нашем	2	3
111	первый план	2	3
112	что они	2	3
113	несмотря на	2	3
114	хотя и	2	3
115	мы уже	10	3
116	один из	5	3
117	и их	8	3
118	в их	3	3
119	то ни	2	3
120	не было	5	3
121	при этом	4	3
122	здесь мы	3	3
123	и наконец	3	3
124	есть элемент	2	3
125	что для	3	3
126	в своих	4	3
127	в основе	4	3
128	языка в	2	3
129	его в	2	3
130	бы в	3	3
131	с тем	2	3
132	только не	2	3
133	и к	4	3
134	одна из	4	3
135	в значительной	2	3
136	в свете	4	3
137	для того	2	3
138	в слове	2	3
139	в таких	3	3
140	том числе	3	2
141	перед нами	3	2
142	о них	2	2
143	и вещи	2	2
144	в той	6	2
145	и конечно	2	2
146	не в	3	2
147	числе и	2	2
148	и сам	2	2
149	в действительности	2	2
150	из которых	2	2
151	себе и	2	2
152	языка а	2	2
153	и др	8	2
154	вещи и	4	2
155	к нему	2	2
156	бы то	2	2
157	ни с	5	2
158	настоящего времени	3	2
159	язык и	2	2
160	даже в	4	2
161	и хотя	2	2
162	в ней	4	2
163	точки зрения	6	2
164	во все	3	2
165	и которые	4	2
166	это в	2	2
167	в них	11	2
168	в условиях	5	2
169	и при	2	2
170	в качестве	4	2
171	конечно не	4	2
172	по преимуществу	2	2
173	он не	5	2
174	а также	3	2
175	что и	3	2
176	во всех	8	2
177	вместе с	2	2
178	того чтобы	4	2
179	той же	6	2
180	роль в	5	2
181	и ее	4	2
182	на эту	3	2
183	здесь как	2	2
