N	2gram	Bakhtin_Pr_1	Komedia
1	и в	29	26
2	и не	31	14
3	так и	7	12
4	и его	14	12
5	в том	8	11
6	может быть	24	11
7	но и	14	10
8	в этом	22	10
9	что в	8	9
10	том что	7	9
11	если бы	9	9
12	было бы	5	8
13	и на	7	7
14	не только	15	7
15	что и	4	7
16	на себя	2	7
17	в своем	8	6
18	то что	15	6
19	еще не	5	6
20	в нем	19	6
21	потому что	8	6
22	и здесь	3	6
23	в то	10	6
24	таким образом	12	6
25	с его	9	5
26	в которой	2	5
27	что он	8	5
28	хоть и	3	5
29	один из	2	5
30	ни в	3	5
31	в истории	2	5
32	с этим	2	5
33	так что	2	5
34	и с	4	5
35	уже в	3	4
36	у него	5	4
37	тому что	3	4
38	в них	3	4
39	и от	2	4
40	прежде всего	7	4
41	как мы	4	4
42	же в	2	4
43	как и	12	4
44	в целом	6	4
45	как будто	3	4
46	с их	5	4
47	в его	24	4
48	мира в	5	4
49	все же	9	4
50	в самом	10	4
51	и для	4	4
52	можно было	2	4
53	точки зрения	19	4
54	только в	10	4
55	так как	6	4
56	на этот	2	4
57	его в	6	4
58	между тем	5	4
59	с этой	2	3
60	в каждом	8	3
61	вопрос о	2	3
62	жизни и	2	3
63	отношению к	8	3
64	но все	5	3
65	связи с	2	3
66	но не	9	3
67	же время	9	3
68	и сам	2	3
69	из которых	2	3
70	например в	3	3
71	в ней	2	3
72	в котором	2	3
73	друг другу	2	3
74	в своей	8	3
75	в их	3	3
76	все это	6	3
77	по отношению	8	3
78	искать в	2	3
79	той же	5	3
80	то же	14	3
81	не было	4	3
82	как в	6	3
83	в самой	6	3
84	к нему	6	3
85	друг друга	3	3
86	а в	7	3
87	человека в	4	3
88	тем что	4	3
89	не может	12	3
90	в этой	4	3
91	но в	7	3
92	все время	2	2
93	ни было	2	2
94	в другой	3	2
95	и есть	2	2
96	однако в	2	2
97	бы к	2	2
98	то ни	2	2
99	с другой	3	2
100	это не	9	2
101	нового времени	3	2
102	в одной	6	2
103	в конце	6	2
104	в одном	10	2
105	в духе	3	2
106	этом смысле	10	2
107	вовсе не	7	2
108	и к	2	2
109	идет о	4	2
110	не в	7	2
111	из его	2	2
112	до сих	2	2
113	должна была	4	2
114	в построении	4	2
115	является не	2	2
116	одна из	3	2
117	тот же	2	2
118	чем в	2	2
119	бы то	2	2
120	своего времени	2	2
121	как не	8	2
122	одним из	6	2
123	наконец в	2	2
124	от того	4	2
125	он не	5	2
126	друг с	2	2
127	что из	2	2
128	как бы	19	2
129	от ее	2	2
130	в уста	3	2
131	всяком случае	3	2
132	даже в	4	2
133	хотя бы	2	2
134	и т	4	2
135	и это	5	2
136	в мире	6	2
137	отношение к	2	2
138	сих пор	2	2
139	что она	6	2
140	в изображении	2	2
141	т п	3	2
142	в той	2	2
143	и что	2	2
144	и у	3	2
145	бы и	4	2
146	рядом с	14	2
147	на пути	2	2
148	во всяком	5	2
149	и во	2	2
150	одно из	2	2
151	и ее	2	2
152	в один	2	2
153	бы в	3	2
154	же не	2	2
