N	2gram	Losev_Dial_1	Narrotol
1	не только	13	31
2	но и	7	27
3	и не	30	23
4	может быть	17	15
5	в частности	2	14
6	в качестве	2	14
7	как и	2	13
8	а не	14	13
9	а в	5	13
10	только в	3	12
11	в этом	12	12
12	и в	18	11
13	в данном	3	11
14	то что	13	9
15	то же	10	8
16	в том	9	8
17	со стороны	2	8
18	не может	12	8
19	уже не	2	8
20	если бы	12	7
21	том что	9	7
22	но в	6	7
23	к тому	4	6
24	об этом	4	6
25	не в	6	6
26	и он	5	6
27	в самом	3	6
28	как бы	11	6
29	один из	3	6
30	жизни и	3	6
31	как раз	4	6
32	тому же	2	6
33	в себе	11	6
34	в его	3	6
35	можно сказать	6	5
36	той или	7	5
37	точка зрения	2	5
38	в своей	2	5
39	так и	9	5
40	потому что	14	5
41	точки зрения	17	5
42	о чем	2	4
43	никогда не	9	4
44	из этих	2	4
45	или иной	3	4
46	все же	5	4
47	для него	2	4
48	то в	7	4
49	но не	4	4
50	же время	4	4
51	прежде всего	10	4
52	еще не	2	4
53	к нему	8	4
54	вплоть до	3	4
55	в ней	3	4
56	в нем	16	4
57	в мире	2	4
58	из них	2	4
59	по себе	25	4
60	как в	2	4
61	и состоит	2	4
62	того что	2	4
63	или не	5	4
64	хотя и	4	4
65	в то	6	4
66	о том	4	4
67	в сознании	3	4
68	не существует	7	3
69	не менее	2	3
70	он сам	5	3
71	но они	2	3
72	что в	13	3
73	в своем	5	3
74	это не	9	3
75	что он	11	3
76	и как	7	3
77	не говорит	4	3
78	самом деле	3	3
79	но как	2	3
80	для того	2	3
81	и о	3	3
82	он не	3	3
83	не является	3	3
84	в современной	2	3
85	не было	6	3
86	этом отношении	2	3
87	именно в	2	3
88	и то	9	3
89	также и	7	3
90	и с	5	3
91	и все	3	3
92	как это	4	3
93	мы имеем	2	3
94	стало быть	9	3
95	по мере	2	2
96	а о	2	2
97	если она	3	2
98	отнюдь не	9	2
99	в этих	5	2
100	тот кто	2	2
101	того кто	2	2
102	в конце	4	2
103	на то	5	2
104	как мы	4	2
105	да и	6	2
106	чем он	2	2
107	одно и	4	2
108	до сих	2	2
109	она не	6	2
110	ни о	5	2
111	как у	2	2
112	к ним	2	2
113	никак не	6	2
114	и является	2	2
115	всяком случае	2	2
116	если в	3	2
117	точек зрения	3	2
118	не имеет	15	2
119	хотя бы	6	2
120	быть и	4	2
121	дело не	2	2
122	сих пор	2	2
123	только на	3	2
124	и тогда	2	2
125	другой стороны	4	2
126	только что	3	2
127	в особенности	5	2
128	все равно	3	2
129	человеческого сознания	2	2
130	и вот	6	2
131	смысл не	2	2
132	что не	7	2
133	и даже	13	2
134	и притом	4	2
135	с другой	6	2
136	и для	2	2
137	ничего не	17	2
138	с ними	2	2
139	сказать что	10	2
140	во всяком	4	2
141	мы можем	4	2
142	не о	4	2
143	и от	2	2
144	что касается	2	2
145	он и	2	2
146	и еще	3	2
147	я в	2	2
148	и внутреннего	2	2
149	ни от	2	2
150	в чем	6	2
151	с ним	6	2
152	та же	3	2
153	как она	7	2
154	это было	2	2
