N	2gram	Bakhtin_sl_1	SlovoVZh
1	не может	14	16
2	точки зрения	16	14
3	может быть	14	14
4	и его	14	13
5	как бы	12	13
6	таким образом	9	12
7	и в	41	12
8	и не	16	10
9	так как	3	9
10	прежде всего	8	8
11	для нас	2	7
12	сказать что	2	7
13	в нем	30	6
14	все время	3	6
15	в процессе	4	6
16	при этом	6	6
17	в том	3	6
18	только в	6	6
19	слова и	13	6
20	в ней	4	6
21	к предмету	4	5
22	и др	14	5
23	никогда не	3	5
24	а не	15	5
25	можно сказать	2	5
26	то же	14	5
27	хотя бы	3	5
28	как и	4	5
29	том что	2	5
30	как в	8	5
31	и следовательно	7	5
32	но в	8	5
33	и к	5	4
34	ни было	2	4
35	все же	7	4
36	отношение к	7	4
37	так и	11	4
38	с другой	5	4
39	на самом	2	4
40	уже не	2	4
41	к автору	2	4
42	зависимости от	3	4
43	не в	7	4
44	в этом	12	4
45	мы все	2	4
46	и на	14	4
47	его в	3	4
48	в самом	5	4
49	к нему	5	4
50	за пределы	4	4
51	свое выражение	2	4
52	не только	16	4
53	в котором	2	3
54	в них	6	3
55	отношении к	6	3
56	точка зрения	8	3
57	в своей	7	3
58	быть и	4	3
59	сих пор	2	3
60	все это	5	3
61	социальной группы	2	3
62	как к	2	3
63	и по	2	3
64	и вообще	2	3
65	все эти	9	3
66	слово в	10	3
67	но и	16	3
68	произведения и	2	3
69	того что	3	3
70	и наконец	4	3
71	и проч	2	3
72	точек зрения	5	3
73	так же	2	3
74	мы не	2	3
75	формы и	3	3
76	и с	4	3
77	о том	3	3
78	и ее	3	3
79	в себе	3	3
80	для него	3	3
81	до сих	2	3
82	в пределах	14	3
83	еще не	4	3
84	в поэзии	3	3
85	только на	2	3
86	и для	4	3
87	конечно не	3	3
88	из этого	3	3
89	внутренней речи	3	3
90	здесь не	2	3
91	с ним	7	3
92	между тем	2	3
93	как только	3	2
94	автора и	4	2
95	перестает быть	2	2
96	с этой	3	2
97	с его	4	2
98	на все	2	2
99	данном случае	3	2
100	в зависимости	3	2
101	в этих	2	2
102	от этой	2	2
103	все они	7	2
104	между собой	2	2
105	в своем	3	2
106	в отношении	6	2
107	точку зрения	3	2
108	другой стороны	4	2
109	это не	6	2
110	и все	4	2
111	слушателя и	5	2
112	в особенности	8	2
113	речи в	4	2
114	с одной	4	2
115	к этому	2	2
116	связь с	2	2
117	те же	2	2
118	автором и	2	2
119	и слово	2	2
120	вместе со	2	2
121	оценок и	4	2
122	в атмосфере	2	2
123	не есть	2	2
124	словом и	3	2
125	с точки	8	2
126	и здесь	3	2
127	его как	2	2
128	высказывания и	2	2
129	сливается с	2	2
130	и те	2	2
131	с другими	5	2
132	более того	3	2
133	до известной	2	2
134	в данном	3	2
135	и то	2	2
136	но не	2	2
137	быть только	2	2
138	каждый момент	2	2
139	могут быть	19	2
140	одно и	2	2
141	выражение в	3	2
142	кроме того	4	2
143	до конца	12	2
144	она не	3	2
145	в то	14	2
146	одной стороны	4	2
147	слова так	2	2
148	и самое	2	2
149	на один	2	2
150	там где	4	2
151	оно не	6	2
152	ничего не	4	2
153	он не	3	2
154	в условиях	2	2
155	в основном	3	2
156	известной степени	4	2
157	в его	13	2
158	и потому	4	2
159	из него	2	2
160	между ними	2	2
