N	2gram	Bakhtin_Fr_1	Psycholo
1	то что	3	37
2	и в	65	30
3	в том	16	27
4	что в	3	24
5	потому что	5	23
6	том что	6	21
7	как бы	22	19
8	что он	3	17
9	не только	10	16
10	в самом	4	14
11	в этом	15	14
12	как раз	3	13
13	то есть	45	13
14	одной стороны	2	12
15	в сущности	16	12
16	с одной	2	12
17	может быть	6	11
18	что мы	2	11
19	о том	2	10
20	никогда не	6	9
21	с другой	3	9
22	не может	3	9
23	сказать что	6	9
24	так как	6	9
25	к тому	2	8
26	не в	4	8
27	при этом	6	8
28	того что	2	8
29	самом деле	3	8
30	мы видим	2	8
31	могут быть	2	8
32	и это	2	8
33	этих двух	2	7
34	в нем	13	7
35	но не	2	7
36	все же	6	7
37	точки зрения	7	7
38	в основе	8	7
39	в своем	8	6
40	как и	5	6
41	совершенно не	4	6
42	в искусстве	3	6
43	и для	2	6
44	но и	10	6
45	и не	22	6
46	жизни и	7	6
47	и его	10	6
48	или в	2	6
49	и здесь	3	6
50	у шекспира	3	6
51	мы уже	12	6
52	в целом	2	5
53	несмотря на	2	5
54	как мы	6	5
55	и потому	10	5
56	в этой	4	5
57	еще не	6	5
58	до сих	4	5
59	искусства и	6	5
60	сих пор	4	5
61	рядом с	5	5
62	в своих	5	5
63	в себе	3	5
64	но в	14	5
65	только в	7	5
66	в частности	5	4
67	от него	2	4
68	и все	5	4
69	этот вопрос	2	4
70	прежде всего	11	4
71	и к	4	4
72	в своей	5	4
73	от того	2	4
74	в ней	6	4
75	в его	9	4
76	в них	5	4
77	и именно	2	4
78	только на	2	4
79	мы найдем	2	4
80	в виду	3	4
81	не могут	3	3
82	и другие	8	3
83	при таком	2	3
84	в состоянии	3	3
85	это не	3	3
86	формы и	7	3
87	из этих	2	3
88	это в	4	3
89	вовсе не	18	3
90	для нас	4	3
91	для него	5	3
92	он не	2	3
93	в ее	3	3
94	на его	2	3
95	так и	10	3
96	как в	5	3
97	в их	4	3
98	так например	2	3
99	времени и	6	3
100	этом отношении	3	3
101	в той	5	3
102	и наконец	2	3
103	на этот	2	3
104	в таком	2	3
105	по его	3	3
106	и на	11	3
107	в этих	2	3
108	в отношении	6	2
109	с его	5	2
110	связи с	4	2
111	понятно что	2	2
112	не является	3	2
113	в противоположность	2	2
114	преимущественно в	3	2
115	в одном	5	2
116	или иной	5	2
117	можно сказать	2	2
118	же в	2	2
119	он был	2	2
120	до конца	2	2
121	а затем	2	2
122	в романе	2	2
123	различия между	2	2
124	но все	3	2
125	нам придется	2	2
126	в большей	5	2
127	и эта	3	2
128	это очень	2	2
129	той или	5	2
130	почти на	3	2
131	из них	4	2
132	во всех	9	2
133	и до	4	2
134	отношения к	2	2
135	нам кажется	2	2
136	в форме	3	2
137	все это	9	2
138	в отличие	4	2
139	которого мы	2	2
140	в себя	3	2
141	и вот	2	2
142	приводит к	2	2
143	с точки	3	2
144	и даже	8	2
145	и он	2	2
146	между ними	4	2
147	есть только	2	2
148	отличие от	5	2
149	ничего не	3	2
150	и с	3	2
151	и так	2	2
152	и самый	2	2
153	он дает	3	2
154	даже и	3	2
155	во всем	2	2
156	не знает	6	2
157	его на	2	2
158	все эти	10	2
159	дело в	2	2
160	и ни	3	2
161	на самом	6	2
