N	2gram	Tiupa_Lite_2	Istorich
1	и в	19	28
2	может быть	17	25
3	и т	2	25
4	не может	9	15
5	а не	20	15
6	никогда не	3	14
7	для нас	2	13
8	что в	4	12
9	то же	12	12
10	не только	8	12
11	что он	3	10
12	все же	2	10
13	прежде всего	4	10
14	но и	10	10
15	мы не	4	10
16	и что	2	10
17	в том	10	9
18	о том	2	9
19	то что	7	9
20	и не	11	9
21	не в	4	9
22	так и	7	9
23	в этом	9	8
24	но в	2	8
25	том что	7	7
26	еще не	2	7
27	было бы	2	7
28	в ней	4	7
29	и др	3	7
30	а в	3	7
31	с другой	8	6
32	не менее	6	6
33	тем не	2	6
34	что и	2	6
35	в этой	3	6
36	так как	3	6
37	вместе с	5	6
38	не знает	2	5
39	в одном	2	5
40	по существу	3	5
41	восходит к	2	5
42	но не	5	5
43	в качестве	5	5
44	другой стороны	4	5
45	героя в	2	5
46	в его	4	5
47	с тем	2	4
48	так что	4	4
49	но это	3	4
50	представляет собой	2	4
51	в путь	3	4
52	одной стороны	6	4
53	даже в	4	4
54	один из	4	4
55	а именно	3	4
56	так в	5	4
57	с одной	7	4
58	как и	10	4
59	того что	5	4
60	и даже	8	4
61	хотя бы	2	4
62	и для	3	4
63	и с	3	4
64	и на	6	4
65	потому что	2	4
66	в основе	2	4
67	могут быть	2	4
68	как правило	3	4
69	я не	5	3
70	в какой	2	3
71	не с	3	3
72	в начале	3	3
73	для этого	2	3
74	на этом	2	3
75	при этом	6	3
76	отношению к	3	3
77	из них	2	3
78	в их	3	3
79	уже не	2	3
80	и его	3	3
81	из которых	2	3
82	и он	3	3
83	как это	2	3
84	по отношению	4	3
85	тем что	4	3
86	в другом	3	3
87	в то	9	3
88	в рамках	4	2
89	в частности	4	2
90	столь же	5	2
91	вовсе не	2	2
92	в такой	2	2
93	как уже	2	2
94	том чтобы	3	2
95	к своему	2	2
96	ни было	2	2
97	в ее	2	2
98	а затем	2	2
99	и как	3	2
100	одна из	5	2
101	не более	2	2
102	для него	4	2
103	тот же	2	2
104	без другого	2	2
105	нет в	2	2
106	что не	2	2
107	одной из	2	2
108	за то	2	2
109	с ним	2	2
110	не по	2	2
111	же как	2	2
112	как бы	2	2
113	не вполне	2	2
114	еще в	4	2
115	был бы	2	2
116	в нем	3	2
117	но уже	2	2
118	себя в	6	2
119	в целом	2	2
120	во всех	3	2
121	в русской	4	2
122	со стороны	3	2
123	как раз	2	2
124	то и	3	2
125	и только	2	2
126	он не	5	2
127	пути в	8	2
128	для всех	5	2
129	не так	2	2
130	одним из	3	2
131	право на	3	2
132	ничего не	3	2
133	однако в	6	2
134	пути от	2	2
135	в себе	6	2
136	в конечном	5	2
137	дорога в	2	2
138	как он	2	2
139	в области	4	2
