N	2gram	Bakhtin_Pr_5	Myshleni
1	в том	5	42
2	том что	3	35
3	таким образом	7	25
4	точки зрения	7	24
5	в этом	14	24
6	и в	35	20
7	что в	6	19
8	то же	15	16
9	то что	10	15
10	не только	10	15
11	что они	6	14
12	как мы	8	13
13	с другой	4	12
14	при этом	2	12
15	потому что	8	12
16	может быть	14	12
17	в целом	3	11
18	так же	7	11
19	в его	21	11
20	мы должны	3	11
21	с точки	2	11
22	этого слова	5	11
23	того что	3	10
24	так как	4	10
25	в отношении	9	10
26	и то	5	10
27	в себе	5	10
28	только в	6	10
29	слова в	6	9
30	и как	2	9
31	но и	14	9
32	другой стороны	3	9
33	между тем	4	9
34	как и	18	9
35	тот же	4	9
36	что и	3	9
37	и не	27	8
38	и что	6	8
39	этом смысле	3	8
40	было бы	3	8
41	вместе с	2	8
42	друг с	4	7
43	как бы	31	7
44	смысле этого	2	7
45	с другом	4	7
46	в своей	4	7
47	самом деле	10	7
48	а не	4	7
49	тем что	4	7
50	уже в	3	6
51	к одному	3	6
52	к тому	6	6
53	тому же	3	6
54	мы видели	2	6
55	в самом	6	6
56	этот процесс	2	6
57	не может	18	6
58	те же	2	6
59	и на	6	6
60	сказать что	3	6
61	по своей	2	6
62	его в	4	6
63	слово в	2	6
64	с тем	3	6
65	что он	24	6
66	одно и	3	6
67	той же	2	6
68	можно было	2	6
69	никогда не	4	5
70	это не	3	5
71	на друга	2	5
72	увидим что	2	5
73	друг на	2	5
74	говорит он	4	5
75	и его	14	5
76	с этим	3	5
77	и к	12	5
78	все же	8	5
79	и того	2	5
80	о том	2	5
81	мы уже	8	5
82	так и	8	5
83	как в	5	5
84	все эти	3	5
85	мы можем	2	5
86	слова и	11	5
87	все время	4	4
88	тому что	2	4
89	в своем	2	4
90	словом и	3	4
91	что с	2	4
92	из них	3	4
93	что оно	2	4
94	друг друга	2	4
95	с этой	2	4
96	как он	2	4
97	и с	12	4
98	его к	3	4
99	по своему	4	4
100	в сущности	14	4
101	только что	3	4
102	в речи	2	4
103	не в	10	4
104	и для	8	4
105	во всяком	4	4
106	на этом	2	3
107	не менее	2	3
108	в этих	2	3
109	и от	3	3
110	что все	2	3
111	слова мы	2	3
112	так что	5	3
113	знает что	3	3
114	но что	2	3
115	себе и	7	3
116	одной из	2	3
117	в виду	3	3
118	всяком случае	4	3
119	столь же	2	3
120	должно быть	3	3
121	на его	4	3
122	но в	19	3
123	и во	3	3
124	бы в	4	3
125	во всем	4	3
126	но не	6	3
127	со всеми	3	3
128	мы говорили	2	3
129	с таким	2	3
130	себя в	2	3
131	слова не	2	3
132	когда он	3	3
133	приводит к	2	3
134	на этот	2	3
135	со словами	2	3
136	ни в	2	3
137	в виде	7	3
138	в чем	4	3
139	в которой	2	3
140	такой же	3	2
141	понятно что	2	2
142	но так	3	2
143	в каждом	6	2
144	прежде всего	12	2
145	очень часто	2	2
146	что на	2	2
147	же слова	2	2
148	высшей степени	3	2
149	собой и	3	2
150	для него	14	2
151	что это	4	2
152	и у	4	2
153	в реальном	3	2
154	но для	2	2
155	в ней	2	2
156	в него	3	2
157	в нем	16	2
158	к нему	13	2
159	уже говорили	5	2
160	в отличие	2	2
161	собой не	2	2
162	не просто	2	2
163	а в	7	2
164	вообще не	2	2
165	для других	3	2
166	не знает	6	2
167	но как	4	2
168	в начале	3	2
169	их в	2	2
170	под влиянием	3	2
171	между двумя	2	2
172	уже и	2	2
173	это в	2	2
174	у него	4	2
175	это слово	4	2
176	с которым	4	2
177	а затем	2	2
178	со словом	3	2
179	еще не	7	2
180	даже в	5	2
181	раз в	2	2
182	они действительно	2	2
183	только на	4	2
184	и т.п	6	2
185	а с	3	2
186	в той	4	2
187	слово и	2	2
188	и он	2	2
189	по которому	2	2
190	в слове	6	2
191	в высшей	3	2
192	тому как	2	2
193	подобно тому	2	2
194	и т.д	3	2
195	и это	5	2
196	этими двумя	2	2
197	отличие от	2	2
198	же не	4	2
