N	2gram	Vygotskiy__2	formyVre
1	и в	15	46
2	в этом	19	22
3	прежде всего	4	14
4	вовсе не	6	13
5	и его	4	12
6	только в	4	11
7	не только	15	11
8	во всех	2	11
9	во время	3	10
10	в том	33	10
11	как бы	7	10
12	точки зрения	26	10
13	но в	6	10
14	у него	2	9
15	не в	8	9
16	мы уже	6	9
17	мира и	2	9
18	вместе с	6	9
19	но и	10	9
20	и не	7	9
21	и для	2	9
22	в связи	6	8
23	связи с	9	8
24	как и	6	8
25	в его	2	8
26	то же	5	8
27	того чтобы	12	8
28	для того	10	8
29	с точки	18	8
30	потому что	7	8
31	из них	3	8
32	в них	4	7
33	в одном	2	7
34	может быть	9	7
35	то что	20	7
36	так и	8	7
37	никогда не	8	6
38	и все	3	6
39	при этом	3	6
40	как мы	6	6
41	все же	4	6
42	все это	4	6
43	те же	3	6
44	в основе	3	6
45	так как	4	6
46	и с	4	6
47	в частности	6	5
48	в своем	9	5
49	с этим	3	5
50	по существу	5	5
51	но не	3	5
52	он не	7	5
53	и др	5	5
54	что в	14	5
55	все эти	3	5
56	должно быть	2	5
57	уже в	5	4
58	отнюдь не	2	4
59	с этой	2	4
60	из этих	4	4
61	человека и	3	4
62	с ним	3	4
63	том что	27	4
64	что они	3	4
65	с другом	2	4
66	друг с	2	4
67	том же	2	4
68	в котором	2	4
69	уже говорили	3	4
70	и их	5	4
71	как в	4	4
72	а не	3	4
73	также и	2	4
74	их в	4	4
75	к себе	2	4
76	в себе	2	4
77	в истории	6	4
78	о том	9	4
79	том числе	3	3
80	мы будем	3	3
81	не является	9	3
82	того же	3	3
83	к этому	4	3
84	как уже	2	3
85	с помощью	5	3
86	к тому	7	3
87	что он	12	3
88	и как	2	3
89	тем более	3	3
90	к вопросу	2	3
91	как у	2	3
92	в качестве	4	3
93	и идеи	2	3
94	для него	3	3
95	тот же	7	3
96	а также	2	3
97	что на	2	3
98	нет и	2	3
99	точка зрения	3	3
100	что и	2	3
101	ее в	2	3
102	целый ряд	2	3
103	таким образом	14	3
104	в совершенно	4	3
105	в их	2	3
106	того что	17	3
107	и даже	5	3
108	и по	3	3
109	а в	4	3
110	на основе	7	3
111	в которых	3	3
112	тем что	2	3
113	в другом	2	3
114	на протяжении	2	3
115	же самое	2	3
116	в этих	2	3
117	в виду	6	3
118	только для	3	2
119	и более	2	2
120	и есть	2	2
121	числе и	3	2
122	друг от	2	2
123	говорить о	2	2
124	лежит в	3	2
125	с другой	6	2
126	и других	2	2
127	это не	5	2
128	что все	4	2
129	представление о	5	2
130	по себе	7	2
131	или иной	2	2
132	можно сказать	2	2
133	но эта	3	2
134	в отношении	6	2
135	протяжении всего	2	2
136	без всякого	2	2
137	в самой	3	2
138	именно в	2	2
139	своей жизни	2	2
140	мы видим	4	2
141	в этой	6	2
142	утверждает что	3	2
143	во все	2	2
144	все что	5	2
145	смысле слова	5	2
146	было бы	10	2
147	и к	6	2
148	от друга	2	2
149	наряду с	2	2
150	в сущности	9	2
151	в заключение	3	2
152	мы видели	6	2
153	по ту	2	2
154	принадлежит к	2	2
155	после этого	2	2
156	в некоторых	2	2
157	и до	3	2
158	находится в	2	2
159	и т.п	7	2
160	и самый	2	2
161	не может	9	2
162	и только	3	2
163	этом отношении	3	2
164	с одной	7	2
165	контакт с	3	2
166	в себя	2	2
167	лишь в	3	2
168	так же	4	2
169	другом месте	2	2
170	у них	2	2
171	значение для	4	2
172	в данном	3	2
173	от этого	2	2
174	мы имеем	3	2
175	могут быть	2	2
176	что здесь	2	2
177	ту же	2	2
178	как он	6	2
179	и это	3	2
180	там где	6	2
181	как это	6	2
182	во всяком	7	2
