N	2gram	Tiupa_Anal_1	KulturaY
1	и т	3	39
2	потому что	2	25
3	т п	3	24
4	и в	18	23
5	не только	15	20
6	в том	27	19
7	в этом	13	18
8	и не	21	16
9	было бы	2	15
10	так как	2	15
11	может быть	29	15
12	точки зрения	6	14
13	если бы	3	12
14	в самом	6	12
15	все эти	2	12
16	том что	12	11
17	того чтобы	3	11
18	в области	4	11
19	но в	8	11
20	что в	5	10
21	по себе	4	10
22	а не	17	10
23	вовсе не	2	9
24	вопрос о	2	9
25	в сущности	6	9
26	то что	6	9
27	самом деле	2	9
28	для того	4	9
29	хотя бы	3	9
30	не может	22	9
31	с другой	4	8
32	прежде всего	6	8
33	не в	14	8
34	в качестве	31	8
35	уже не	4	8
36	с точки	4	8
37	в нашем	3	7
38	в силу	3	7
39	все же	4	7
40	но и	17	7
41	другой стороны	2	7
42	и с	2	7
43	это не	6	6
44	в этой	5	6
45	но не	10	6
46	что не	3	6
47	вопроса о	3	6
48	то же	9	6
49	между тем	5	6
50	и на	5	6
51	что мы	3	6
52	не могут	3	5
53	что он	3	5
54	еще не	3	5
55	несмотря на	2	5
56	в его	13	5
57	этого слова	7	5
58	один из	2	5
59	должен быть	6	5
60	вместе с	4	5
61	что же	2	5
62	таким образом	3	5
63	лишь в	5	5
64	и то	2	5
65	не следует	4	5
66	только в	6	5
67	также и	2	5
68	мы имеем	6	5
69	была бы	2	4
70	отнюдь не	15	4
71	можно сказать	2	4
72	к тому	7	4
73	ни в	4	4
74	должно быть	2	4
75	в пределах	2	4
76	своего рода	3	4
77	как бы	5	4
78	однако не	3	4
79	в нем	3	4
80	со стороны	2	4
81	и о	2	4
82	в данном	2	4
83	широком смысле	2	4
84	могут быть	4	4
85	в то	9	4
86	так и	4	4
87	на этом	2	3
88	для этого	2	3
89	на фоне	2	3
90	же время	6	3
91	а также	3	3
92	большей или	4	3
93	того же	4	3
94	он не	3	3
95	что и	3	3
96	не все	2	3
97	в процессе	2	3
98	отличается от	2	3
99	смысл и	3	3
100	этом отношении	2	3
101	именно в	4	3
102	как мы	2	3
103	сводится к	5	3
104	того что	4	3
105	из которых	4	3
106	и по	2	3
107	следует что	2	3
108	а в	9	3
109	и его	5	3
110	или меньшей	4	3
111	здесь не	2	3
112	всего лишь	4	3
113	данного рода	2	2
114	смысла и	3	2
115	только для	2	2
116	и более	4	2
117	и есть	3	2
118	в частности	19	2
119	никогда не	2	2
120	состоит в	11	2
121	и все	3	2
122	быть не	3	2
123	и до	2	2
124	одного из	2	2
125	не просто	2	2
126	на все	2	2
127	не всегда	4	2
128	или иного	3	2
129	его к	2	2
130	конечном счете	4	2
131	в широком	4	2
132	в другом	4	2
133	и потому	2	2
134	с одной	3	2
135	не более	4	2
136	как будто	3	2
137	на примере	2	2
138	при этом	12	2
139	может служить	2	2
140	того или	3	2
141	в конечном	4	2
142	в свое	2	2
143	к нему	3	2
144	в своей	6	2
145	не говоря	2	2
146	дело не	3	2
147	данном случае	2	2
148	для данного	2	2
149	а именно	3	2
150	в их	5	2
151	в отличие	6	2
152	на самом	2	2
153	как и	13	2
154	в той	8	2
155	тем самым	7	2
156	свое время	2	2
157	той же	2	2
158	роль в	2	2
159	нуждается в	8	2
160	соответствии с	2	2
161	могла бы	3	2
162	могли бы	2	2
163	будто бы	3	2
164	отличие от	6	2
165	отношения к	2	2
