N	2gram	Voloshinov_2	Psycholo
1	то что	4	44
2	и в	19	33
3	в этом	15	28
4	как бы	19	25
5	все время	2	24
6	для того	6	23
7	может быть	28	22
8	том что	10	22
9	того чтобы	6	22
10	что в	2	21
11	в том	7	21
12	о том	3	20
13	что он	4	20
14	только что	3	15
15	что это	2	13
16	таким образом	14	13
17	и не	19	13
18	так же	5	13
19	сказать что	4	13
20	то есть	2	13
21	к тому	6	12
22	в самом	6	12
23	все то	2	12
24	и все	6	12
25	так как	3	12
26	было бы	4	12
27	если мы	6	12
28	самом деле	9	12
29	он не	3	11
30	на то	4	10
31	не может	18	10
32	в его	5	10
33	если бы	11	10
34	в этой	3	9
35	по себе	3	9
36	как раз	4	9
37	то же	16	9
38	в каком	3	8
39	вместе с	2	8
40	в своем	2	7
41	до конца	2	7
42	в нем	11	7
43	не только	13	7
44	перед нами	3	6
45	тому что	4	6
46	это не	4	6
47	что они	2	6
48	в ней	3	6
49	все эти	3	6
50	точки зрения	17	6
51	же самое	6	6
52	как на	2	6
53	у него	2	6
54	в сущности	14	6
55	на самом	7	6
56	а не	9	6
57	в себе	4	6
58	самого начала	5	5
59	никогда не	7	5
60	в какой	3	5
61	с самого	5	5
62	и как	6	5
63	мы не	2	5
64	и на	5	5
65	вовсе не	11	5
66	мы можем	6	5
67	с этим	3	5
68	связь с	4	5
69	как и	9	5
70	мы уже	6	5
71	и его	16	5
72	все же	5	5
73	и это	3	5
74	совершенно не	5	4
75	жизни и	2	4
76	а в	3	4
77	того что	4	4
78	в жизни	2	4
79	к этому	5	4
80	у нас	3	4
81	одна из	7	4
82	и о	2	4
83	себя в	2	4
84	не будет	3	4
85	в своей	3	4
86	в двух	3	4
87	как мы	15	4
88	что не	2	4
89	с точки	13	4
90	той же	3	4
91	в таком	7	4
92	только в	8	4
93	слова и	6	4
94	это было	2	4
95	с одной	3	3
96	что оно	3	3
97	ни в	6	3
98	тому же	2	3
99	которой мы	2	3
100	должно быть	3	3
101	в пределах	10	3
102	одной стороны	3	3
103	всяком случае	2	3
104	какой бы	3	3
105	но и	10	3
106	и до	3	3
107	конечно не	4	3
108	не было	3	3
109	здесь мы	3	3
110	уже знаем	2	3
111	и здесь	5	3
112	в то	8	3
113	его в	7	3
114	в основе	9	3
115	смысле этого	4	3
116	но не	2	3
117	здесь в	2	3
118	бы это	2	3
119	ли это	2	3
120	до сих	3	3
121	что и	3	3
122	мы никогда	2	3
123	сих пор	3	3
124	совершенно иначе	2	3
125	так и	10	3
126	да и	3	3
127	слова как	2	3
128	и он	2	3
129	и для	7	3
130	во всяком	3	3
131	от этого	2	3
132	тем что	2	3
133	в виде	2	3
134	далеко не	2	3
135	этого слова	5	3
136	в той	5	3
137	место в	2	2
138	уже в	2	2
139	его и	3	2
140	столь же	3	2
141	с другой	3	2
142	в одной	2	2
143	и от	3	2
144	на все	2	2
145	прежде всего	7	2
146	вопрос о	2	2
147	для понимания	3	2
148	в тех	2	2
149	оно является	2	2
150	мы знаем	2	2
151	такое понимание	2	2
152	или вернее	2	2
153	же время	8	2
154	при этом	9	2
155	и является	2	2
156	все те	4	2
157	в котором	3	2
158	не является	8	2
159	в их	5	2
160	допустим что	2	2
161	именно в	2	2
162	не имеет	3	2
163	и формы	3	2
164	и с	2	2
165	именно как	2	2
166	не в	10	2
167	и потому	2	2
168	бы не	2	2
169	слово в	3	2
170	но в	7	2
171	а как	4	2
172	с его	8	2
173	лежит в	2	2
174	в ее	3	2
175	мы увидим	2	2
176	во всех	6	2
177	точном смысле	4	2
178	бы то	4	2
179	нем нет	2	2
180	и именно	2	2
181	не на	2	2
182	нами в	3	2
183	а с	2	2
184	сводится к	2	2
185	и эта	2	2
186	хотя бы	6	2
187	и то	3	2
188	и ее	4	2
189	связи с	13	2
190	только с	2	2
191	ничего не	4	2
