N	2gram	Losev_Prob_1	Sovremen
1	не может	8	17
2	точки зрения	3	12
3	может быть	14	12
4	таким образом	6	11
5	мы не	2	9
6	не можем	2	7
7	в этом	19	7
8	и в	32	7
9	и не	31	6
10	как и	3	6
11	в результате	2	6
12	мы можем	4	6
13	ничего не	10	6
14	что же	9	5
15	прежде всего	10	5
16	все эти	8	5
17	с точки	3	5
18	как бы	14	4
19	нет и	2	4
20	если мы	11	4
21	вместе с	2	4
22	это не	6	4
23	а в	4	4
24	не только	17	4
25	в том	9	4
26	в дальнейшем	4	4
27	их в	4	4
28	из них	3	4
29	мы должны	5	4
30	так как	11	4
31	уже в	3	3
32	на этой	2	3
33	отнюдь не	10	3
34	все это	7	3
35	мы называем	2	3
36	в конце	6	3
37	то же	10	3
38	ясно что	3	3
39	мы получаем	3	3
40	в нем	13	3
41	а не	15	3
42	для нас	5	3
43	у нас	14	3
44	когда мы	8	3
45	не в	4	3
46	в этой	10	3
47	еще не	9	3
48	он в	2	3
49	при этом	6	3
50	было бы	8	3
51	и все	7	3
52	как он	4	3
53	в первом	2	3
54	в себе	15	3
55	в области	2	3
56	что она	5	3
57	но в	14	3
58	и потому	2	3
59	ведь это	2	3
60	совершенно не	6	2
61	в настоящее	3	2
62	же мы	2	2
63	может иметь	2	2
64	не могут	2	2
65	что это	3	2
66	не менее	19	2
67	и есть	6	2
68	в виде	15	2
69	не будем	2	2
70	быть и	3	2
71	то и	6	2
72	и во	3	2
73	из этих	2	2
74	что все	3	2
75	как мы	7	2
76	уже не	3	2
77	или иной	5	2
78	самом деле	6	2
79	и что	9	2
80	и пр	4	2
81	что такое	6	2
82	говорим о	2	2
83	на этот	3	2
84	и даже	11	2
85	тем не	18	2
86	он должен	2	2
87	конечно в	2	2
88	мы видим	2	2
89	в таком	9	2
90	но все	3	2
91	во всяком	7	2
92	знаем что	2	2
93	могут быть	2	2
94	с этим	3	2
95	что в	12	2
96	настоящее время	3	2
97	говорить о	6	2
98	со всеми	2	2
99	же самое	9	2
100	на его	2	2
101	такого рода	7	2
102	в самом	6	2
103	в которой	2	2
104	в науке	2	2
105	в его	6	2
106	всяком случае	3	2
