N	2gram	Losev_Prob_2	StatiiOP
1	и в	35	25
2	в этом	17	24
3	в том	12	20
4	что в	11	19
5	что он	4	19
6	может быть	18	19
7	тем что	4	19
8	том что	19	15
9	в этой	9	14
10	в его	7	12
11	то что	38	12
12	не только	24	12
13	в этих	4	11
14	так что	11	11
15	прежде всего	11	10
16	таким образом	4	10
17	и не	37	10
18	но и	16	9
19	и т	6	8
20	все это	4	8
21	в языке	15	8
22	в своих	3	8
23	о том	18	8
24	это было	2	8
25	было бы	8	7
26	с этим	5	7
27	не может	13	7
28	что такое	18	7
29	точки зрения	2	7
30	в то	6	7
31	из этих	3	6
32	в конце	7	6
33	не в	2	6
34	только в	14	6
35	а а	6	6
36	как бы	4	6
37	как на	2	6
38	а в	4	6
39	и на	5	6
40	в области	6	6
41	то же	5	5
42	независимо от	2	5
43	в них	2	5
44	потому что	13	5
45	с другой	6	5
46	на то	6	5
47	ни в	6	5
48	об этом	2	5
49	такого рода	15	5
50	и это	5	5
51	а не	10	5
52	того что	12	5
53	другой стороны	5	5
54	он не	2	5
55	так и	7	5
56	но в	6	5
57	с тем	3	4
58	всяком случае	10	4
59	и др	2	4
60	по крайней	6	4
61	этом смысле	5	4
62	это в	2	4
63	крайней мере	6	4
64	у нас	18	4
65	как и	5	4
66	но это	6	4
67	в качестве	2	4
68	можно сказать	6	4
69	в общем	4	4
70	если бы	4	4
71	и к	3	4
72	в ней	2	4
73	относится к	6	4
74	а также	2	4
75	и тем	4	4
76	в целом	3	4
77	из этого	2	4
78	отличается от	2	4
79	не было	3	4
80	лишь в	3	4
81	из которых	2	4
82	к нему	2	4
83	и для	6	4
84	и с	10	4
85	сказать что	24	4
86	во всяком	13	4
87	в каком	4	4
88	все же	8	4
89	ничего не	10	4
90	что все	6	3
91	уже в	3	3
92	и более	5	3
93	тому что	3	3
94	и здесь	4	3
95	всех этих	4	3
96	тем более	10	3
97	и что	13	3
98	кроме того	5	3
99	одной стороны	5	3
100	и если	3	3
101	несмотря на	3	3
102	о которых	3	3
103	и наконец	3	3
104	конце концов	7	3
105	все эти	7	3
106	не является	7	3
107	по этому	3	3
108	в их	3	3
109	как раз	8	3
110	в связи	5	3
111	в в	2	3
112	уже не	8	3
113	в системе	2	3
114	что мы	14	3
115	не так	2	3
116	что для	3	3
117	в виде	6	3
118	говорить о	10	3
119	связи с	5	3
120	так как	7	3
121	не был	4	2
122	при помощи	8	2
123	не менее	13	2
124	для этого	3	2
125	по тому	2	2
126	как о	3	2
127	тогда когда	3	2
128	вовсе не	37	2
129	в такой	2	2
130	и ее	2	2
131	утверждать что	2	2
132	самого начала	2	2
133	или иной	5	2
134	к тому	3	2
135	как мы	5	2
136	без всякого	4	2
137	но все	2	2
138	что они	3	2
139	есть в	4	2
140	что если	4	2
141	но не	4	2
142	до сих	4	2
143	только тогда	3	2
144	еще не	10	2
145	это за	2	2
146	в самом	5	2
147	во всех	2	2
148	одна из	3	2
149	что из	2	2
150	слова как	3	2
151	в виду	8	2
152	речь идет	2	2
153	нет и	3	2
154	гораздо более	4	2
155	один из	3	2
156	тем не	12	2
157	каждый раз	3	2
158	вместе с	2	2
159	сих пор	4	2
160	внимание на	3	2
161	нас не	3	2
162	этому поводу	2	2
163	и только	4	2
164	в отношении	4	2
165	т д	6	2
166	эту вещь	3	2
167	с одной	5	2
168	не просто	11	2
169	этой области	3	2
170	этого термина	8	2
171	заключается в	4	2
172	самом деле	4	2
173	с самого	3	2
174	для того	3	2
175	что не	5	2
176	и по	3	2
177	с нашим	2	2
178	той же	2	2
179	во многих	2	2
180	мы не	7	2
181	или в	2	2
182	между собою	4	2
183	слово в	2	2
184	в результате	4	2
185	то и	4	2
186	к сожалению	6	2
187	имеем в	2	2
188	но как	6	2
189	на это	2	2
190	которые в	2	2
191	здесь только	3	2
192	и ни	3	2
193	не имеет	7	2
194	если я	2	2
195	и тот	3	2
196	не имел	2	2
197	и которые	2	2
198	в плане	2	2
199	то есть	39	2
