N	2gram	Propp_Isto_4	Russkaja
1	не может	6	22
2	и не	9	19
3	в том	3	17
4	в этом	7	17
5	и в	26	14
6	то что	16	13
7	таким образом	10	11
8	то же	8	11
9	но и	12	10
10	том что	3	9
11	не только	15	9
12	в себе	2	9
13	может быть	14	9
14	и если	3	7
15	в данном	3	7
16	мы должны	5	7
17	о том	4	7
18	и с	5	7
19	если бы	2	6
20	что он	10	6
21	и при	3	6
22	с тем	2	6
23	все это	2	6
24	в своем	2	6
25	хотя бы	2	5
26	он должен	3	5
27	вопрос о	4	5
28	на то	3	5
29	и на	2	5
30	при этом	3	5
31	до сих	5	5
32	было бы	2	5
33	конечно не	2	5
34	в своей	4	5
35	он не	7	5
36	никогда не	2	5
37	в нем	2	5
38	сих пор	5	5
39	и только	5	5
40	по существу	3	5
41	из которых	5	5
42	а в	8	5
43	потому что	6	5
44	только в	3	5
45	но не	5	4
46	не могут	2	4
47	что в	14	4
48	как и	7	4
49	все что	4	4
50	как бы	3	4
51	все же	9	4
52	себя в	2	4
53	вместе с	6	4
54	от того	2	4
55	на земле	3	4
56	не в	5	4
57	и то	6	4
58	в этой	2	4
59	во всем	3	4
60	в его	5	4
61	которой он	2	4
62	его в	9	4
63	так как	9	4
64	к этой	3	4
65	что это	2	3
66	на том	2	3
67	из этих	3	3
68	главным образом	2	3
69	таким же	6	3
70	этом случае	3	3
71	и как	5	3
72	в другом	5	3
73	лишь в	2	3
74	что они	6	3
75	в качестве	7	3
76	еще не	6	3
77	знаем что	7	3
78	но мы	3	3
79	то это	5	3
80	что и	9	3
81	не есть	2	3
82	и т	27	3
83	из них	2	3
84	данном случае	3	3
85	того что	2	3
86	и по	5	3
87	или в	3	3
88	тем что	5	3
89	и во	2	3
90	в виде	2	3
91	связи с	3	3
92	одна из	2	3
93	этого не	2	2
94	и более	3	2
95	должна быть	2	2
96	и есть	2	2
97	в частности	2	2
98	у него	5	2
99	его и	2	2
100	другом случае	2	2
101	с этим	2	2
102	точно так	5	2
103	этот вопрос	2	2
104	к себе	3	2
105	их не	2	2
106	по себе	2	2
107	ни в	2	2
108	уже не	5	2
109	так что	2	2
110	но это	3	2
111	от него	2	2
112	есть и	2	2
113	указывает на	4	2
114	она не	3	2
115	и тот	2	2
116	видеть в	2	2
117	но для	2	2
118	на это	2	2
119	и тем	2	2
120	не к	2	2
121	для нас	3	2
122	в некоторых	5	2
123	тогда как	4	2
124	все эти	3	2
125	не просто	4	2
126	и вот	2	2
127	и что	5	2
128	а не	6	2
129	и даже	4	2
130	к нему	6	2
131	так же	18	2
132	в других	2	2
133	на которой	2	2
134	их в	7	2
135	в силу	5	2
136	мы можем	6	2
137	у многих	3	2
138	или от	2	2
139	даже и	2	2
140	на себя	4	2
141	мы уже	5	2
142	во время	7	2
143	в таких	2	2
144	в этих	7	2
145	только с	2	2
146	в области	2	2
147	но в	5	2
