N	2gram	Potebnia_M_2	Problema
1	то есть	30	46
2	в его	2	43
3	и не	19	42
4	и в	24	38
5	и проч	10	28
6	не может	12	27
7	может быть	23	26
8	как бы	9	22
9	по отношению	2	21
10	и его	2	16
11	в нем	9	15
12	в этом	8	15
13	и т	6	14
14	независимо от	9	13
15	прежде всего	7	13
16	только в	11	13
17	т п	3	13
18	за пределы	2	12
19	но не	12	12
20	во всех	7	11
21	и для	3	11
22	таким образом	11	10
23	но и	9	9
24	не имеет	6	9
25	его в	3	9
26	не только	15	9
27	место в	4	8
28	в том	18	8
29	и как	6	8
30	было бы	13	8
31	для нее	2	8
32	то что	20	8
33	слова в	5	7
34	что в	16	7
35	с другой	6	7
36	не в	13	7
37	в самом	4	7
38	между тем	6	7
39	как и	7	7
40	еще не	4	7
41	а в	8	6
42	только как	6	6
43	не есть	6	6
44	все же	5	6
45	самом деле	2	6
46	мы можем	12	6
47	там где	4	6
48	отношения к	2	6
49	то же	12	5
50	это не	3	5
51	при этом	13	5
52	имеет место	2	5
53	никогда не	4	5
54	все эти	2	5
55	должно быть	2	5
56	рядом с	3	5
57	далеко не	3	5
58	с ним	5	5
59	в них	5	5
60	так и	5	5
61	не на	2	5
62	а не	18	5
63	тем как	2	5
64	быть только	2	5
65	могут быть	8	5
66	не менее	5	4
67	в нашем	2	4
68	на самом	2	4
69	только по	3	4
70	должны быть	4	4
71	в ней	3	4
72	другой стороны	2	4
73	и только	6	4
74	которых мы	3	4
75	в других	4	4
76	с ними	3	4
77	сказать что	2	4
78	в то	6	4
79	о том	5	4
80	и потому	2	4
81	к которому	2	4
82	но в	4	4
83	вне себя	2	4
84	перестает быть	2	4
85	не с	3	4
86	относится к	3	4
87	как в	10	4
88	тем самым	4	4
89	что не	5	4
90	между ними	2	4
91	хотя бы	2	4
92	в себе	10	4
93	себя и	2	3
94	и от	3	3
95	слова но	2	3
96	тем не	6	3
97	проч но	2	3
98	но это	3	3
99	же время	2	3
100	ли мы	2	3
101	одной стороны	3	3
102	например в	3	3
103	хотя и	3	3
104	и тем	3	3
105	в целом	3	3
106	все это	2	3
107	с одной	4	3
108	они не	4	3
109	и на	8	3
110	ни было	3	3
111	если бы	11	3
112	и все	3	3
113	этом смысле	2	3
114	том что	8	3
115	от него	4	3
116	все что	3	3
117	определенности и	2	3
118	может стать	2	3
119	мы в	3	3
120	помнить что	3	3
121	оно не	3	3
122	входят в	3	3
123	на него	3	3
124	как содержание	2	3
125	в слове	13	3
126	в таком	4	3
127	с другими	5	3
128	слова и	3	3
129	и это	2	3
130	на этом	2	2
131	не могут	7	2
132	том как	3	2
133	и весь	2	2
134	представляется нам	5	2
135	и есть	2	2
136	в этих	3	2
137	в какой	2	2
138	столь же	5	2
139	что все	2	2
140	в каждом	2	2
141	на то	5	2
142	от них	3	2
143	а только	8	2
144	что оно	4	2
145	в нашей	2	2
146	не можем	6	2
147	в свою	6	2
148	не дает	2	2
149	по поводу	6	2
150	что это	3	2
151	и у	3	2
152	не имеют	2	2
153	в котором	4	2
154	ни с	2	2
155	но она	3	2
156	где оно	2	2
157	в связи	2	2
158	не было	6	2
159	и других	2	2
160	в самой	3	2
161	и что	4	2
162	того что	7	2
163	есть только	6	2
164	его не	3	2
165	которые могут	4	2
166	и здесь	2	2
167	во всем	2	2
168	о котором	2	2
169	мы должны	2	2
170	как это	2	2
171	оно может	2	2
172	с его	2	2
173	себе не	4	2
174	и во	3	2
175	не все	2	2
176	к этому	2	2
177	вовсе не	9	2
178	есть не	5	2
179	о которых	3	2
180	что он	4	2
181	у нас	2	2
182	а к	2	2
183	и при	3	2
184	связи с	6	2
185	одна из	4	2
186	движения и	2	2
187	предмета и	4	2
188	в некоторых	4	2
189	что и	11	2
190	не во	2	2
191	бы не	5	2
192	человека в	3	2
193	в себя	2	2
194	того чтобы	2	2
195	для того	5	2
196	или в	2	2
197	тем что	7	2
198	в другом	2	2
199	и вообще	3	2
200	души и	4	2
201	в чем	7	2
