N	3gram	Vygotskiy__6	Psycholo
1	в том что	19	17
2	для того чтобы	8	13
3	с точки зрения	10	10
4	заключается в том	5	10
5	не может быть	2	8
6	так же точно	3	7
7	то же самое	6	6
8	на то что	4	6
9	в этом отношении	3	5
10	до сих пор	3	5
11	так же как	6	4
12	в сущности говоря	4	4
13	и той же	3	4
14	мы знаем что	3	4
15	можно было бы	5	4
16	одной и той	3	4
17	в то время	6	3
18	с тем что	2	3
19	по сравнению с	14	2
20	те же самые	3	2
21	и не может	2	2
22	к тому что	7	2
23	ту же самую	2	2
24	состоит в том	2	2
25	и то что	2	2
26	в этой области	2	2
27	на этот вопрос	2	2
28	то время как	5	2
29	с другой стороны	2	2
