N	2gram	Vygotskiy__7	Dialekti
1	не есть	4	40
2	и не	18	30
3	и есть	2	19
4	а не	6	18
5	может быть	7	17
6	ничего не	2	17
7	то что	24	16
8	и в	26	15
9	как бы	6	14
10	не имеет	2	14
11	так как	14	14
12	точки зрения	28	14
13	что это	6	13
14	это есть	4	13
15	того что	14	13
16	по себе	3	13
17	это не	3	12
18	прежде всего	7	11
19	в том	18	11
20	не может	11	11
21	в этом	29	11
22	с ее	2	10
23	в основе	3	10
24	потому что	16	10
25	том что	17	10
26	было бы	6	9
27	в виду	5	9
28	все это	3	9
29	мы не	7	9
30	и что	6	9
31	это и	4	9
32	то же	8	9
33	с точки	21	9
34	ни в	2	8
35	не в	4	8
36	в себе	9	8
37	и о	3	8
38	не только	24	8
39	в чем	3	8
40	и ее	2	8
41	что в	12	7
42	что оно	4	7
43	что мы	9	7
44	что он	8	7
45	как и	15	7
46	и его	12	7
47	или в	2	7
48	только в	8	7
49	перед нами	2	6
50	так что	4	6
51	и тем	6	6
52	сказать что	8	6
53	вовсе не	2	6
54	если бы	5	6
55	в то	3	6
56	что и	3	6
57	в меру	7	5
58	я не	3	5
59	так и	3	5
60	есть то	3	5
61	на то	4	5
62	можно сказать	5	5
63	того чтобы	19	5
64	в ней	3	5
65	но если	2	5
66	в нем	2	5
67	что она	8	5
68	но только	3	5
69	в свете	4	5
70	таким образом	23	5
71	именно в	6	5
72	о том	4	5
73	тогда когда	5	5
74	есть не	3	5
75	то в	2	5
76	учение о	3	5
77	в смысле	6	5
78	в сущности	9	5
79	если мы	5	5
80	для того	18	5
81	и для	5	5
82	той же	8	5
83	оказывается что	2	4
84	что все	2	4
85	оно есть	5	4
86	но это	3	4
87	в этой	3	4
88	что они	10	4
89	есть в	3	4
90	на другую	3	4
91	один из	2	4
92	но и	11	4
93	так же	14	4
94	также и	2	4
95	и с	5	4
96	мы должны	6	4
97	с тем	5	4
98	меру того	3	4
99	мы видим	3	4
100	она не	5	4
101	еще не	4	4
102	как раз	3	4
103	бы в	5	4
104	должны быть	4	4
105	в силу	5	4
106	в его	4	4
107	что если	2	3
108	в собственном	3	3
109	тем самым	8	3
110	в свою	2	3
111	и той	2	3
112	и следовательно	5	3
113	себя и	2	3
114	совершенно не	2	3
115	в их	2	3
116	отношения к	2	3
117	все эти	6	3
118	есть только	2	3
119	и наконец	4	3
120	с этим	2	3
121	с ним	3	3
122	но в	4	3
123	только не	11	3
124	к этому	2	3
125	от нее	2	3
126	возможно только	2	3
127	в одну	2	3
128	об этом	3	3
129	у нас	2	3
130	только потому	3	3
131	только о	2	3
132	мы уже	3	3
133	в своей	3	3
134	и потому	3	3
135	как в	4	3
136	на основании	2	3
137	одной и	2	3
138	она в	2	3
139	что не	2	3
140	из которых	2	3
141	в данном	5	3
142	и то	7	3
143	мы можем	3	3
144	могут быть	2	3
145	едва ли	4	3
146	в области	4	3
147	не менее	4	2
148	не могут	4	2
149	прежде чем	2	2
150	она должна	2	2
151	в отношении	2	2
152	она является	2	2
153	с этой	5	2
154	из этих	3	2
155	точно так	2	2
156	представление о	7	2
157	вопрос о	6	2
158	показывает что	2	2
159	и во-вторых	3	2
160	что на	2	2
161	собственном смысле	3	2
162	заключается в	6	2
163	свою очередь	2	2
164	в пользу	4	2
165	что с	5	2
166	случае не	2	2
167	мог бы	3	2
168	в самом	9	2
169	которые мы	4	2
170	совпадает с	3	2
171	никогда не	4	2
172	в котором	4	2
173	но мы	3	2
174	из ее	3	2
175	и их	5	2
176	не по	4	2
177	и ничего	2	2
178	то и	4	2
179	для этого	3	2
180	и только	4	2
181	этой точки	4	2
182	мы находим	3	2
183	лишь в	2	2
184	не мог	2	2
185	и по	3	2
186	должно быть	2	2
187	самое что	2	2
188	о структуре	3	2
189	во всем	3	2
190	от одного	2	2
191	как это	5	2
192	обоих планов	2	2
193	функций и	2	2
194	нашего исследования	5	2
195	сравнению с	8	2
196	и во	4	2
197	мы нашли	5	2
198	что было	2	2
199	природе и	2	2
200	в ее	6	2
201	все же	6	2
202	в качестве	5	2
203	все что	6	2
204	но именно	2	2
205	одной из	4	2
206	никто не	2	2
207	никак не	5	2
208	в этот	3	2
209	для нее	3	2
210	нет и	3	2
211	двух планов	3	2
212	тем не	3	2
213	по сравнению	9	2
214	во всех	6	2
215	вместе с	12	2
216	ее в	8	2
217	что же	2	2
218	находится в	2	2
219	во всей	2	2
220	не раз	2	2
221	того как	2	2
222	можно говорить	2	2
223	и слово	3	2
224	только что	5	2
225	что по	2	2
226	что этот	5	2
227	во всяком	2	2
228	тем что	9	2
229	вещи и	2	2
230	но для	2	2
231	и при	2	2
232	я могу	2	2
233	и другое	3	2
234	мы говорим	2	2
235	что эта	6	2
236	в которой	11	2
237	отличие от	2	2
238	может и	2	2
