N	2gram	Propp_Isto_6	Psycholo
1	то что	6	44
2	и в	26	33
3	в этом	12	28
4	как бы	4	25
5	и что	5	25
6	все время	2	24
7	потому что	13	24
8	может быть	11	22
9	том что	10	22
10	что в	12	21
11	в том	12	21
12	о том	7	20
13	что он	9	20
14	только что	2	15
15	как это	5	14
16	что это	2	13
17	таким образом	12	13
18	и не	10	13
19	так же	2	13
20	сказать что	3	13
21	к тому	2	12
22	так как	18	12
23	было бы	2	12
24	он не	2	11
25	на то	2	10
26	что она	3	10
27	не может	6	10
28	в его	5	10
29	если бы	3	10
30	в этой	2	9
31	то же	5	9
32	совершенно ясно	4	8
33	вместе с	8	8
34	как будто	3	8
35	в своем	2	7
36	для нас	2	7
37	так что	3	7
38	в нем	8	7
39	и только	3	7
40	не только	10	7
41	когда он	3	7
42	перед нами	2	6
43	это не	4	6
44	что они	2	6
45	в ней	5	6
46	и т	10	6
47	после этого	4	6
48	все эти	8	6
49	и вот	3	6
50	но он	2	6
51	что мы	2	6
52	когда мы	2	6
53	как на	3	6
54	у него	7	6
55	мы видим	5	6
56	мы должны	2	6
57	а не	2	6
58	в себе	3	6
59	никогда не	13	5
60	и как	2	5
61	целый ряд	2	5
62	мы не	6	5
63	и на	12	5
64	вовсе не	2	5
65	как он	6	5
66	с ним	8	5
67	мы можем	7	5
68	с этим	2	5
69	связь с	11	5
70	как и	5	5
71	мы уже	6	5
72	и его	7	5
73	о смерти	9	5
74	все же	8	5
75	и это	8	5
76	из этого	3	5
77	в частности	3	4
78	что у	2	4
79	так например	3	4
80	жизни и	2	4
81	а в	3	4
82	и других	3	4
83	того что	2	4
84	с этой	2	4
85	знаем что	2	4
86	при помощи	3	4
87	с тем	4	4
88	к этому	3	4
89	у нас	5	4
90	одна из	2	4
91	никто не	2	4
92	не будет	5	4
93	в своей	3	4
94	ее в	6	4
95	на него	2	4
96	как мы	4	4
97	что не	2	4
98	можно было	2	4
99	только в	5	4
100	же как	3	3
101	с одной	7	3
102	что оно	4	3
103	это то	2	3
104	точно так	2	3
105	ни в	2	3
106	одной стороны	7	3
107	например в	7	3
108	всяком случае	2	3
109	ни одной	2	3
110	то это	5	3
111	но и	9	3
112	и до	2	3
113	не было	3	3
114	здесь мы	4	3
115	увидим что	2	3
116	в своих	3	3
117	в которых	2	3
118	их в	3	3
119	уже знаем	2	3
120	в то	5	3
121	его в	5	3
122	та же	3	3
123	нет ни	2	3
124	том как	3	3
125	в одном	3	3
126	но не	2	3
127	до сих	4	3
128	она не	3	3
129	что и	4	3
130	сих пор	4	3
131	так и	5	3
132	как в	6	3
133	и сейчас	2	3
134	тем самым	2	3
135	из которых	3	3
136	и он	4	3
137	что этот	2	3
138	во всяком	2	3
139	от этого	3	3
140	тем что	5	3
141	в виде	6	3
142	далеко не	3	3
143	как только	3	2
144	с другой	10	2
145	в одной	2	2
146	и от	3	2
147	из этих	4	2
148	прежде всего	4	2
149	вопрос о	3	2
150	в тех	3	2
151	мы знаем	2	2
152	и конечно	2	2
153	но все	2	2
154	из его	2	2
155	такой же	3	2
156	такое понимание	2	2
157	и другое	2	2
158	при этом	3	2
159	эти три	3	2
160	один из	3	2
161	но мы	2	2
162	нам кажется	2	2
163	другой стороны	8	2
164	т д	8	2
165	и наконец	3	2
166	не имеет	2	2
167	его не	2	2
168	время как	3	2
169	и формы	2	2
170	и с	6	2
171	не в	3	2
172	мы имеем	14	2
173	но в	7	2
174	же мы	5	2
175	с его	4	2
176	в них	3	2
177	что касается	2	2
178	если он	3	2
179	и эти	5	2
180	представляет собой	2	2
181	что при	2	2
182	можно сказать	2	2
183	в это	4	2
184	кажется что	2	2
185	стороны он	3	2
186	ее на	2	2
187	большей частью	2	2
188	даже в	2	2
189	что эти	2	2
190	со стороны	3	2
191	а с	2	2
192	сводится к	2	2
193	то время	3	2
194	и эта	3	2
195	почти всегда	3	2
196	и то	3	2
197	в руки	2	2
198	и ее	3	2
199	только одна	3	2
200	в русской	6	2
201	не потому	3	2
202	ничего не	2	2
