N	2gram	Bakhtin_Pr_1	Hudozhes
1	и в	38	28
2	том что	3	19
3	в ее	4	18
4	и не	42	18
5	в том	8	15
6	а не	5	14
7	не в	7	13
8	в этом	15	13
9	о том	4	12
10	как и	7	11
11	при этом	5	11
12	в его	43	11
13	не только	9	11
14	но и	9	9
15	в себе	4	9
16	что он	2	8
17	может быть	26	8
18	себя в	2	8
19	так и	5	8
20	между тем	7	8
21	я не	2	7
22	и все	3	7
23	в мире	3	7
24	в частности	2	7
25	отношению к	19	7
26	по отношению	21	7
27	с ним	5	7
28	как это	2	7
29	это не	5	6
30	можно сказать	2	6
31	в котором	2	6
32	то что	8	6
33	в своей	7	6
34	если бы	3	6
35	то же	5	6
36	не было	2	6
37	а в	6	6
38	и с	17	6
39	тем что	2	6
40	в то	4	6
41	с его	2	5
42	что это	2	5
43	и другие	2	5
44	не менее	4	5
45	в своем	5	5
46	как бы	22	5
47	как в	4	5
48	да и	3	5
49	что в	7	5
50	она не	2	5
51	в самом	7	5
52	никогда не	5	5
53	и его	16	5
54	рядом с	5	5
55	ничего не	6	5
56	тем не	3	4
57	но не	12	4
58	же время	3	4
59	в художественном	20	4
60	для того	2	4
61	и о	5	4
62	он не	3	4
63	в конечном	4	4
64	для нее	8	4
65	что и	2	4
66	и т	14	4
67	не может	27	4
68	человека в	2	4
69	того чтобы	2	4
70	только в	13	4
71	в других	4	4
72	как только	3	3
73	бы не	2	3
74	человек в	2	3
75	была бы	2	3
76	конечном счете	4	3
77	в них	5	3
78	столь же	2	3
79	с другой	7	3
80	к себе	2	3
81	что все	2	3
82	прежде всего	13	3
83	в нем	15	3
84	и ее	2	3
85	самом деле	6	3
86	все что	3	3
87	еще не	7	3
88	одной стороны	3	3
89	было бы	8	3
90	по поводу	2	3
91	несмотря на	3	3
92	одной из	3	3
93	в ней	4	3
94	не все	2	3
95	в этих	2	3
96	все они	5	3
97	на него	3	3
98	все это	3	3
99	на фоне	3	3
100	с одной	3	3
101	едва ли	3	3
102	и он	2	3
103	или в	2	3
104	можно было	4	3
105	с другими	3	3
106	с ними	4	3
107	и на	3	3
108	же самое	2	3
109	на ее	3	3
110	и это	3	3
111	к нему	10	3
112	в основе	5	2
113	место в	8	2
114	представляется нам	2	2
115	себя и	3	2
116	отнюдь не	19	2
117	и от	3	2
118	вовсе не	2	2
119	а как	3	2
120	или иного	2	2
121	или иной	2	2
122	не с	4	2
123	как мы	7	2
124	о которых	2	2
125	в строгом	2	2
126	одна из	2	2
127	на этом	2	2
128	ибо в	2	2
129	что не	4	2
130	и к	3	2
131	того или	2	2
132	не является	3	2
133	в нашем	4	2
134	оно не	3	2
135	все же	6	2
136	отношение к	10	2
137	ни с	2	2
138	данном случае	4	2
139	приводит к	3	2
140	дело с	6	2
141	здесь не	4	2
142	т п	13	2
143	и становится	7	2
144	в двух	2	2
145	лишь в	2	2
146	тем самым	4	2
147	не более	2	2
148	и у	2	2
149	и эта	2	2
150	между ними	4	2
151	хотя бы	4	2
152	и для	11	2
153	с точки	6	2
154	в данном	4	2
155	тем как	5	2
156	сказать что	4	2
157	в виде	2	2
158	нуждается в	2	2
159	точки зрения	8	2
160	самим собою	2	2
161	с самим	2	2
162	не во	2	2
163	говорить о	3	2
164	в другом	2	2
165	и только	4	2
166	его в	9	2
167	она может	3	2
168	но в	4	2
169	том как	2	2
