N	3gram	Losev_Vesc_1	Formalny
1	с точки зрения	3	14
2	не может быть	6	14
3	и т д	19	6
4	во всяком случае	2	6
5	с другой стороны	2	5
6	в данном случае	2	4
7	в самом деле	4	4
8	то ни было	4	4
9	бы то ни	4	4
10	подобно тому как	4	4
11	для того чтобы	2	4
12	в том что	4	3
13	к тому что	2	2
14	дело в том	2	2
15	как бы ни	2	2
16	а и в	7	2
17	тем не менее	3	2
18	сами по себе	3	2
19	в конце концов	2	2
20	не только не	2	2
21	может быть только	3	2
22	равно как и	2	2
23	только то что	2	2
24	между смыслом и	2	2
