N	3gram	Tiupa_Anal	Russkaja
1	то же время	7	10
2	в то же	7	10
3	с точки зрения	2	9
4	в том что	12	7
5	на самом деле	1	6
6	во всяком случае	6	6
7	для того чтобы	1	6
8	а между тем	1	5
9	до сих пор	1	5
10	не может быть	2	4
11	той или иной	6	3
12	в конце концов	1	3
13	можно было бы	1	3
14	в данном случае	11	3
15	в этом случае	1	3
16	и то что	2	3
17	что он не	2	2
18	лишь в том	1	2
19	и в том	1	2
20	ни одна из	1	2
21	того или иного	5	2
22	тот факт что	1	2
23	точно так же	1	2
24	в большинстве случаев	1	2
25	и тем самым	2	2
26	в противоречие с	2	2
27	они принадлежат к	1	2
28	о том что	7	2
29	сама по себе	3	2
30	не только к	2	2
31	но и к	1	2
32	ни к чему	1	2
33	таким же образом	1	2
34	надо признать что	1	2
35	друг от друга	1	2
36	должны были бы	1	1
37	ни у кого	1	1
38	в противном случае	2	1
39	в самом деле	1	1
40	ли может быть	1	1
41	и должно было	1	1
42	и как бы	2	1
43	относится не только	1	1
44	сказанное относится не	1	1
45	дело в том	3	1
46	смысле этого слова	1	1
47	является не только	1	1
48	по себе еще	1	1
49	себе еще не	1	1
50	речь идет о	2	1
51	к чему не	1	1
52	того чтобы их	1	1
53	внутренней и внешней	2	1
54	как бы не	1	1
55	отнюдь не является	1	1
56	до известной степени	3	1
57	тех или иных	1	1
58	между собой и	1	1
59	по отношению к	9	1
60	и прежде всего	2	1
61	одной из этих	1	1
62	и во всем	1	1
63	как бы ни	1	1
64	в том чтобы	2	1
65	по крайней мере	5	1
66	в борьбе за	2	1
67	заключается в том	1	1
68	а в том	2	1
69	всяком случае не	1	1
70	и того же	4	1
71	вряд ли может	1	1
72	именно вследствие этого	1	1
73	в единое целое	2	1
74	прежде всего с	1	1
75	о себе самом	1	1
76	в мире есть	1	1
77	в связи с	1	1
78	и все же	1	1
79	же время в	2	1
80	к одному из	1	1
81	тем не менее	3	1
82	но как бы	1	1
83	только то что	1	1
84	по этому пути	1	1
85	между нами и	1	1
86	в этом отношении	3	1
87	перед нами не	1	1
88	вопрос о том	1	1
89	то есть не	1	1
90	в свою очередь	7	1
91	в применении к	1	1
92	тем более что	1	1
93	в значительной степени	3	1
94	в этой роли	1	1
95	на этот вопрос	1	1
96	тот или иной	3	1
97	состоит в том	2	1
98	к тому же	7	1
99	совершенно очевидно что	2	1
100	одного и того	4	1
101	в полной мере	3	1
