N	3gram	Voloshinov	KFilosof
1	по отношению к	11	22
2	не может быть	14	11
3	с точки зрения	15	10
4	в его целом	2	10
5	по отношению ко	2	4
6	ни в чем	4	4
7	в чем не	4	4
8	в ее целом	4	3
9	того или иного	1	3
10	и только в	1	3
11	в этом смысле	2	3
12	отношению ко всему	1	3
13	один и тот	3	3
14	в данный момент	1	3
15	в котором он	1	3
16	не было бы	1	3
17	на самом деле	4	3
18	между тем как	1	3
19	во всех своих	3	3
20	и тот же	3	3
21	в котором мы	1	3
22	в нем и	1	3
23	в том что	9	2
24	той или иной	1	2
25	ни в каком	2	2
26	ничего общего не	3	2
27	и может быть	2	2
28	других людей и	1	2
29	то или иное	2	2
30	имеем в виду	1	2
31	во всех отношениях	1	2
32	тем не менее	4	2
33	и ни в	2	2
34	в то же	6	2
35	уже не может	1	2
36	вовсе не есть	1	2
37	события в котором	1	2
38	во всех этих	1	2
39	то ни было	2	2
40	на своем месте	1	2
41	в целом и	1	2
42	и в нем	1	2
43	бы то ни	3	2
44	то же время	6	2
45	раз и навсегда	1	2
46	трудно бывает сказать	1	1
47	быть не может	1	1
48	спросить в каком	1	1
49	сих пор не	1	1
50	в истории философии	1	1
51	я не найду	1	1
52	в свою очередь	4	1
53	и тем не	2	1
54	но прежде всего	1	1
55	равно как и	2	1
56	в конечном счете	3	1
57	во всяком случае	8	1
58	чувства желания и	1	1
59	всего что может	1	1
60	в каком бы	1	1
61	ни о каких	1	1
62	в большинстве случаев	5	1
63	в противоречие с	1	1
64	позицию по отношению	1	1
65	только в его	1	1
66	в себя и	1	1
67	то же самое	2	1
68	во всех его	1	1
69	это уже не	1	1
70	конечно не в	1	1
71	нашей точки зрения	1	1
72	хотя бы и	2	1
73	из него все	1	1
74	может быть понято	1	1
75	в том же	1	1
76	может войти в	1	1
77	а следовательно и	2	1
78	для того чтобы	3	1
79	сводится к следующему	1	1
80	точки зрения его	1	1
81	не только за	1	1
82	как и всякое	1	1
83	согласиться с тем	1	1
84	форму и содержание	1	1
85	с ним в	1	1
86	только в этом	1	1
87	в настоящее время	1	1
88	и входит в	1	1
89	и пр и	2	1
90	и пр все	1	1
91	со всех сторон	1	1
92	и по отношению	2	1
93	именно в этой	1	1
94	все это только	1	1
95	и связанных с	2	1
96	до сих пор	3	1
97	как и на	1	1
98	никогда бы не	1	1
99	ее целом и	2	1
100	дело в том	1	1
101	смысле этого слова	1	1
102	люди а не	1	1
103	но в то	3	1
104	мы никогда не	2	1
105	в единую ткань	1	1
106	и в то	1	1
107	как бы ни	1	1
108	при этом условии	1	1
109	конечно не может	2	1
110	к той же	1	1
111	к которой он	1	1
112	но во всяком	3	1
113	только при этом	1	1
114	в основных чертах	1	1
115	единого в своей	1	1
116	в зависимости от	4	1
117	но не в	1	1
118	переведено на язык	1	1
119	зависит от того	1	1
120	и все же	1	1
121	во второй половине	1	1
122	ведь оно не	1	1
123	к тому что	2	1
124	пока я не	1	1
125	было бы для	1	1
126	на этом пути	1	1
127	общего не имеет	1	1
128	культурного творчества и	1	1
129	это и есть	2	1
130	что и в	2	1
131	связанная с ним	1	1
132	до конца и	1	1
133	нет и не	3	1
134	связанных с ними	2	1
135	мы не можем	3	1
136	свой смысл и	1	1
137	в основе своей	1	1
138	может быть и	6	1
