N	4gram	Losev_Vlad	VeschiIm
1	не что иное как	2	12
2	бы то ни было	1	12
3	есть не что иное	1	8
4	одно и то же	1	5
5	и тем не менее	1	5
6	ни в каком случае	1	4
7	дело в том что	7	4
8	в то же время	7	4
9	в то время как	2	4
10	указывает на то что	1	3
11	и в то же	3	3
12	в каком случае не	1	2
13	не имеет никакого отношения	1	2
14	чего бы то ни	1	2
15	в том что он	2	2
16	мы должны сказать что	1	1
17	не может быть речи	1	1
18	что несмотря на все	1	1
19	на самом же деле	1	1
20	связи с вопросом о	1	1
21	как бы его ни	1	1
22	для тех кто не	1	1
23	и т д в	1	1
24	том что он не	1	1
25	не содержит в себе	1	1
26	в связи с вопросом	1	1
27	а в том что	1	1
28	дело не в этом	1	1
29	но в то же	2	1
30	каком случае не может	1	1
31	заключается в том чтобы	1	1
32	то и в нем	1	1
33	и вместе с тем	1	1
34	еще и потому что	2	1
35	о них мы не	1	1
36	может быть речи о	1	1
37	имеет никакого отношения к	1	1
38	заключается не в том	1	1
39	также и то что	2	1
40	один и тот же	2	1
41	что бы то ни	1	1
