N	3gram	Trubetskoy	Sovremen
1	с точки зрения	9	5
2	не может быть	4	4
3	не может не	3	3
4	что же это	1	3
5	с самого начала	1	3
6	друг с другом	14	2
7	в свою очередь	1	2
8	то же самое	1	2
9	во всяком случае	6	2
10	тем не менее	1	2
11	не подлежит сомнению	1	2
12	в настоящее время	2	2
13	том случае когда	1	1
14	где это только	1	1
15	подлежит никакому сомнению	1	1
16	по самому своему	2	1
17	самому своему существу	1	1
18	всяком случае не	1	1
19	всюду где это	1	1
20	то ни было	1	1
21	но мы знаем	1	1
22	в том что	7	1
23	на самом деле	6	1
24	до сих пор	5	1
25	это только возможно	1	1
26	в связи с	1	1
27	и все же	1	1
28	в самом деле	1	1
29	дело в том	1	1
30	в том случае	4	1
31	но мы уже	1	1
32	тот факт что	2	1
33	той или иной	3	1
34	знаем что это	1	1
35	в данном случае	3	1
36	ни одна не	1	1
37	не может но	1	1
38	но все же	1	1
39	мы уже знаем	1	1
40	в этом направлении	2	1
41	не подлежит никакому	1	1
42	это то же	1	1
43	и прежде всего	1	1
44	уже знаем что	1	1
45	мы не знаем	1	1
46	так же как	1	1
47	то же время	10	1
48	прежде всего необходимо	1	1
49	она не может	2	1
50	по отношению к	1	1
51	никакому сомнению что	1	1
52	в то же	10	1
53	бы то ни	4	1
54	заключает в себе	1	1
55	на этот вопрос	1	1
56	и в этом	1	1
57	данном случае и	1	1
58	по крайней мере	1	1
59	в этом случае	3	1
60	тот или иной	1	1
61	можно было бы	3	1
62	и не может	3	1
