N	4gram	Losev_Dial	KFilosof
1	ни в чем не	1	4
2	одна и та же	3	2
3	уже не может быть	1	2
4	бы то ни было	1	2
5	в то же время	3	2
6	ни к чему не	1	2
7	совершенно не зависит от	1	1
8	и это нисколько не	1	1
9	ничего общего не имеет	1	1
10	только к тому что	1	1
11	но это не есть	1	1
12	ничем не отличаются от	1	1
13	не зависит от того	1	1
14	он не может быть	1	1
15	не нужно думать что	1	1
16	и тем не менее	2	1
17	но в то же	1	1
18	не было ни в	2	1
19	и в этом смысле	1	1
20	тем не менее в	1	1
21	и в то же	2	1
22	и не в том	1	1
