3gram	Vygotskiy_Psychologia_partition_part3_wordlist_3gram	Vygotskiy_Psychologia_partition_part5_wordlist_3gram
одно и то	3	2
и в самом	2	10
то что в	2	2
на то что	16	12
для того чтобы	19	8
о том что	6	3
то что он	3	2
о которых мы	2	5
в сущности говоря	8	7
и как бы	4	2
и то что	3	3
на самом деле	2	2
заключается в том	6	6
легко показать что	2	3
все то что	2	6
мы видим что	3	7
мы могли бы	4	3
в том что	14	11
к тому что	6	2
и то же	3	2
вместе с тем	3	2
в самом деле	5	18
в двух противоположных	2	2
с точки зрения	2	9
чтобы увидеть что	2	5
с самого начала	3	6
один из критиков	2	2
в двух планах	3	5
указывает на то	2	3
образом мы видим	2	2
то же самое	3	8
в данном случае	2	2
с другой стороны	5	5
в лучшем случае	3	2
и т п	3	5
должен был бы	3	2
совершенно прав когда	2	2
с одной стороны	12	5
и т д	3	4
мы увидим что	6	7
и мы увидим	2	2
совершенно ясно что	5	5
он говорит что	2	2
ничего не может	2	2
до сих пор	5	5
мы видим в	2	2
