3gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_3gram
к внутренней речи	2	3
не до конца	2	2
в свою очередь	3	2
по сравнению с	5	7
для того чтобы	14	18
о том что	4	4
в отличие от	2	2
в сущности говоря	4	2
пороге школьного возраста	4	4
в той мере	3	2
и то что	2	3
на пороге школьного	4	4
связаны между собой	3	3
того чтобы сделать	2	2
в такой же	3	3
друг с другом	7	2
заключается в том	5	4
в меру того	2	3
то время как	4	2
в устной речи	3	3
мере в какой	3	2
на всем протяжении	2	4
именно в этом	2	2
мы могли бы	6	4
по отношению к	12	5
то и другое	2	3
как мы видели	2	3
в том что	11	13
мы нашли что	2	3
в то время	4	2
вместе с тем	2	4
так как она	2	3
в этом отношении	5	3
с этой точки	4	4
том что он	2	2
в самом деле	2	4
не только не	3	9
не иначе как	2	2
все эти три	2	2
с точки зрения	9	21
с самого начала	5	7
таким образом в	2	2
из того что	4	2
то же самое	4	5
в этом случае	3	14
такой же мере	3	3
этой точки зрения	4	4
в той же	2	2
можно сказать что	5	3
в известном смысле	7	2
в этот период	2	2
же мере как	2	2
том что в	2	2
той мере в	3	2
в лучшем случае	3	2
своей психологической природе	2	2
по своей психологической	2	3
с одной стороны	3	5
той же мере	2	2
потому что он	5	2
друг от друга	4	2
не может быть	3	4
в ходе развития	2	7
приводит нас к	2	2
же самое что	2	2
так же как	7	7
развития научных понятий	2	2
до сих пор	3	3
стороны речи и	2	2
могли бы сказать	2	2
состоит в том	3	3
