2gram	Tiupa_LitereturaIMentalnost_partition_part3_wordlist_2gram	Tiupa_LitereturaIMentalnost_partition_part2_wordlist_2gram
авторитарного сознания	12	2
ни было	2	2
всего лишь	3	5
в рамках	4	4
я это	2	2
никогда не	3	4
в хх	4	3
наконец в	2	3
в нем	3	2
д андреев	3	2
дискурс власти	3	3
как на	3	3
одно из	2	4
так и	7	9
этот путь	3	2
с точки	3	3
прежде всего	4	3
в ее	2	5
со стороны	3	7
в данном	3	4
и в	19	16
из ведущих	2	2
но не	5	4
не случайно	4	3
вместе с	5	5
то есть	5	5
х годов	3	15
в стихотворении	13	6
еще в	4	3
в качестве	5	5
данном случае	3	4
к жизни	2	2
в поэзии	3	5
для него	4	2
жизни в	4	4
я твой	2	2
в принципе	5	2
другой стороны	4	2
при этом	6	15
то в	2	3
и одновременно	2	2
хх века	8	11
без другого	2	2
подобно тому	2	2
соцреализма в	5	2
художественного творчества	2	2
и с	3	2
мира в	2	3
однако в	6	4
и как	3	3
разумеется не	2	3
того что	5	9
едва ли	4	3
точки зрения	4	7
не менее	6	2
себя в	6	7
эстетический субъект	3	2
что он	3	5
коммуникативное событие	3	4
тому как	2	3
не знает	2	2
в третьем	2	3
и ты	3	4
доверие к	2	2
в целом	2	5
то же	12	9
а также	2	4
как бы	2	8
общественного сознания	2	2
в противоположность	2	2
е годы	2	9
представляет собой	2	2
что в	4	2
и жизни	3	3
в кругозоре	3	2
уже не	2	3
в этом	9	14
дискурс ответственности	2	2
другого в	3	4
в году	5	5
в жизни	2	8
того же	4	2
лирического героя	4	7
с одной	7	4
присутствия в	2	6
из стихотворений	2	2
жизнь как	2	2
художественного мышления	5	6
на жизнь	2	2
той же	2	3
в каждой	2	2
в мире	9	16
эстетического субъекта	3	7
еще не	2	6
в то	9	9
из того	2	2
и для	3	4
искусство не	2	2
как раз	2	2
личности в	3	3
но уже	2	3
было бы	2	2
не надо	2	2
в соцреалистических	2	2
на свете	2	2
а в	3	5
нашего столетия	2	2
выше и	2	2
[] в	6	3
жизни а	2	2
пути в	8	4
своего рода	13	10
мы с	3	2
тогда как	9	17
него не	2	2
и т.п	10	6
что я	2	5
а именно	3	5
творческого поведения	5	2
он и	2	2
жизни и	4	3
все еще	2	3
я я	2	2
как это	2	3
в глазах	3	3
во всех	3	2
пути как	2	2
не в	4	10
мыслится как	3	3
такого рода	9	10
у нас	5	2
отношению к	3	4
с образом	2	2
и не	11	22
человека в	4	2
даже в	4	4
может быть	17	12
поэзии и	2	2
и наконец	2	3
одном из	2	2
в одном	2	4
состоит в	9	6
о том	2	6
в этой	3	8
по существу	3	4
я и	4	10
и к	2	3
я не	5	2
в себе	6	6
этом отношении	3	5
не с	3	2
не вполне	2	2
что не	2	2
но и	10	14
в ситуации	2	2
себя и	2	2
в другом	3	6
в стихах	8	6
и выше	2	2
соответствии с	2	5
своего другого	3	4
быть может	3	2
из них	2	4
художественной культуры	3	5
коммуникативного события	2	5
и сам	2	2
что и	2	2
для того	2	2
то что	7	12
[] это	3	3
как и	10	5
потому что	2	3
причастность к	4	2
на свою	3	3
право на	3	2
один из	4	2
это как	2	3
в области	4	3
образ пути	2	2
уединенного сознания	5	14
том числе	2	3
с этой	2	2
не могу	2	2
и его	3	6
и только	2	2
конвергентного сознания	3	7
до конца	2	4
лирический герой	10	5
сталинской эпохи	3	2
я в	7	7
не может	9	8
в его	4	6
одним из	3	4
говоря уже	2	4
не только	8	14
том что	7	8
тем самым	3	7
а затем	2	3
отнюдь не	4	3
на себя	2	2
не говоря	2	4
эстетической деятельности	3	2
эстетического откровения	3	2
быть не	2	2
как писал	2	2
в своих	2	2
о которой	2	2
тем что	4	2
а не	20	12
жизни как	2	2
и даже	8	2
вплоть до	3	2
в е	2	8
же время	9	7
и на	6	2
же в	2	2
в облике	2	2
но с	3	2
с ее	2	3
в противовес	3	7
по отношению	4	4
в конце	2	2
для себя	2	2
том чтобы	3	2
нобелевской лекции	2	2
причастности к	4	6
субъекта жизни	2	2
в начале	3	4
следует признать	3	2
в основе	2	5
одной стороны	6	4
хх веке	4	3
в том	10	12
уже о	2	3
но в	2	3
с другой	8	6
у маяковского	2	2
класс и	3	2
все же	2	2
парадигмы художественности	3	2
в частности	4	11
